Carimbo de data/hora,Com qual gênero você se identifica?,Qual sua idade?,Em qual etapa acadêmica você se encontra atualmente? ,Com que frequência você pratica atividade física em uma semana comum?  ,"Em média, quanto tempo dura cada sessão de atividade física?",Tenho dificuldade em me concentrar nos estudos e/ou em atividades que necessitam de foco.,"Me sinto sempre cansado, com pouca energia e disposição.",Eu tenho uma boa qualidade de sono.,"Me sinto frequentemente para baixo, depressivo, sem esperança. Estou sempre preocupado, como se algo ruim fosse acontecer.",A falta de tempo por causa das demandas da faculdade é um empecilho para a minha prática de atividades físicas.,O cansaço físico e mental decorrente dos estudos é um empecilho para a minha prática de atividades físicas.,"O custo financeiro (mensalidade de academia, equipamentos, etc.) é um empecilho para a minha prática de atividades físicas.",Eu pratico ou gostaria de praticar atividades físicas para cuidar da saúde mental e aliviar o estresse.,Eu pratico ou gostaria de praticar atividades físicas para melhorar a minha saúde física.,Eu pratico ou gostaria de praticar atividades físicas para melhorar a minha aparência.,Eu pratico ou gostaria de praticar atividades físicas para ter um momento de lazer e/ou socialização.
18/10/2025 16:34:30,Feminino,18-20,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Discordo,Discordo,Concordo,Discordo,Concordo totalmente,Discordo,Discordo,Concordo totalmente,Concordo totalmente,Neutro,Neutro
18/10/2025 16:36:55,Masculino,21-23,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Neutro,Discordo,Concordo totalmente,Neutro,Concordo,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo
18/10/2025 16:37:14,Masculino,18-20,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Neutro,Concordo,Concordo,Discordo,Neutro,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
18/10/2025 16:38:35,Feminino,18-20,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Neutro,Discordo,Concordo,Discordo,Discordo,Discordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
18/10/2025 16:40:17,Masculino,18-20,Graduando,2 a 3 vezes por semana,60 a 89 minutos,Discordo,Concordo,Neutro,Discordo totalmente,Concordo totalmente,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo
18/10/2025 16:41:28,Masculino,21-23,Graduando,6 ou mais vezes por semana,Menos de 30 minutos,Concordo,Neutro,Concordo totalmente,Concordo,Discordo,Neutro,Concordo totalmente,Concordo,Concordo,Concordo,Concordo
18/10/2025 16:42:07,Masculino,18-20,Graduando,Nunca ou quase nunca,Menos de 30 minutos,Concordo,Concordo,Neutro,Discordo,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo
18/10/2025 16:43:38,Feminino,21-23,Graduando,1 vez por semana,30 a 59 minutos,Neutro,Concordo totalmente,Concordo,Discordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo,Discordo,Concordo totalmente,Concordo totalmente
18/10/2025 16:44:12,Masculino,18-20,Graduando,1 vez por semana,30 a 59 minutos,Concordo,Neutro,Discordo,Discordo,Discordo totalmente,Discordo totalmente,Discordo,Neutro,Concordo,Neutro,Neutro
18/10/2025 16:47:29,Masculino,18-20,Graduando,1 vez por semana,Menos de 30 minutos,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro
18/10/2025 16:48:51,Masculino,18-20,Graduando,Nunca ou quase nunca,Menos de 30 minutos,Concordo,Concordo,Neutro,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo,Neutro,Concordo
18/10/2025 16:49:54,Feminino,18-20,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Discordo totalmente,Neutro,Concordo,Neutro,Concordo,Neutro,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo
18/10/2025 16:51:08,Masculino,18-20,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Discordo,Discordo,Neutro,Discordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Neutro
18/10/2025 16:51:40,Masculino,27-29,Graduando,Nunca ou quase nunca,Menos de 30 minutos,Discordo,Neutro,Neutro,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo,Concordo,Neutro
18/10/2025 16:54:45,Masculino,18-20,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Discordo,Discordo,Neutro,Discordo,Concordo,Discordo,Discordo,Discordo,Concordo totalmente,Concordo totalmente,Neutro
18/10/2025 16:57:49,Feminino,21-23,Graduando,Nunca ou quase nunca,30 a 59 minutos,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
18/10/2025 16:57:57,Masculino,18-20,Graduando,2 a 3 vezes por semana,60 a 89 minutos,Concordo,Neutro,Discordo,Discordo,Concordo totalmente,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo
18/10/2025 17:02:35,Feminino,18-20,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Concordo,Neutro,Concordo,Discordo,Concordo totalmente,Concordo,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo
18/10/2025 17:03:04,Feminino,21-23,Graduando,Nunca ou quase nunca,Menos de 30 minutos,Concordo,Concordo,Neutro,Neutro,Concordo totalmente,Concordo totalmente,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo
