t	y
4,729167E-1	-1,384707E-2
4,739583E-1	-1,479059E-2
4,750000E-1	-1,521958E-2
4,760417E-1	-1,567482E-2
4,770833E-1	-1,654927E-2
4,781250E-1	-1,763624E-2
4,791667E-1	-1,794799E-2
4,802083E-1	-1,871745E-2
4,812500E-1	-1,953674E-2
4,822917E-1	-2,085069E-2
4,833333E-1	-2,173798E-2
4,843750E-1	-2,212099E-2
4,854167E-1	-2,260382E-2
4,864583E-1	-2,379945E-2
4,875000E-1	-2,440570E-2
4,885417E-1	-2,545531E-2
4,895833E-1	-2,700421E-2
4,906250E-1	-2,746829E-2
4,916667E-1	-2,853252E-2
4,927083E-1	-2,944139E-2
4,937500E-1	-3,036775E-2
4,947917E-1	-3,098751E-2
4,958333E-1	-3,202554E-2
4,968750E-1	-3,307757E-2
4,979167E-1	-3,443050E-2
4,989583E-1	-3,517947E-2
5,000000E-1	-3,629702E-2
5,010417E-1	-3,712964E-2
5,020833E-1	-3,823221E-2
5,031250E-1	-3,936475E-2
5,041667E-1	-4,084510E-2
5,052083E-1	-4,149883E-2
5,062500E-1	-4,269199E-2
5,072917E-1	-4,398338E-2
5,083333E-1	-4,474289E-2
5,093750E-1	-4,595720E-2
5,104167E-1	-4,715329E-2
5,114583E-1	-4,856137E-2
5,125000E-1	-4,981741E-2
5,135417E-1	-5,059185E-2
5,145833E-1	-5,186915E-2
5,156250E-1	-5,326474E-2
5,166667E-1	-5,411081E-2
5,177083E-1	-5,536273E-2
5,187500E-1	-5,655377E-2
5,197917E-1	-5,817736E-2
5,208333E-1	-5,934067E-2
5,218750E-1	-6,069177E-2
5,229167E-1	-6,158448E-2
5,239583E-1	-6,289071E-2
5,250000E-1	-6,423871E-2
5,260417E-1	-6,562513E-2
5,270833E-1	-6,666349E-2
5,281250E-1	-6,780228E-2
5,291667E-1	-6,922077E-2
5,302083E-1	-7,061942E-2
5,312500E-1	-7,184066E-2
5,322917E-1	-7,343003E-2
5,333333E-1	-7,488774E-2
5,343750E-1	-7,642232E-2
5,354167E-1	-7,770016E-2
5,364583E-1	-7,904176E-2
5,375000E-1	-8,037370E-2
5,385417E-1	-8,173130E-2
5,395833E-1	-8,313767E-2
5,406250E-1	-8,466446E-2
5,416667E-1	-8,602947E-2
5,427083E-1	-8,744686E-2
5,437500E-1	-8,884353E-2
5,447917E-1	-9,047123E-2
5,458333E-1	-9,216143E-2
5,468750E-1	-9,353446E-2
5,479167E-1	-9,522020E-2
5,489583E-1	-9,664051E-2
5,500000E-1	-9,816951E-2
5,510417E-1	-9,966034E-2
5,520833E-1	-1,012743E-1
5,531250E-1	-1,028283E-1
5,541667E-1	-1,045128E-1
5,552083E-1	-1,061051E-1
5,562500E-1	-1,076728E-1
5,572917E-1	-1,091887E-1
5,583333E-1	-1,109778E-1
5,593750E-1	-1,126943E-1
5,604167E-1	-1,142371E-1
5,614583E-1	-1,160513E-1
5,625000E-1	-1,177397E-1
5,635417E-1	-1,190907E-1
5,645833E-1	-1,209629E-1
5,656250E-1	-1,225818E-1
5,666667E-1	-1,243382E-1
5,677083E-1	-1,261237E-1
5,687500E-1	-1,277268E-1
5,697917E-1	-1,296348E-1
