"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.134189500E-2,1.939303428E-1,9.888052940E0,1.789665818E-1,9.891573635E0
2.630965600E-2,1.268926859E-1,9.911994934E0,1.789665818E-1,9.914422543E0
3.127741600E-2,6.464344263E-2,9.931148529E0,1.741781682E-1,9.932886183E0
3.624517600E-2,-7.182605099E-3,9.955090523E0,1.789665818E-1,9.956701660E0
4.121293700E-2,-6.464344263E-2,9.979032516E0,1.741781682E-1,9.980761833E0
4.618069700E-2,-1.412578970E-1,9.983820915E0,1.837549806E-1,9.986510890E0
5.114845800E-2,-2.035071403E-1,1.000776291E1,1.789665818E-1,1.001143160E1
5.611621800E-2,-2.705447972E-1,1.001255131E1,1.741781682E-1,1.001772011E1
6.108397800E-2,-3.232172430E-1,1.002691650E1,1.741781682E-1,1.003363653E1
6.605173900E-2,-3.758896589E-1,1.003649330E1,1.550245583E-1,1.004472615E1
7.101949900E-2,-4.285621047E-1,1.004128170E1,1.646013707E-1,1.005177085E1
7.598726000E-2,-4.572925270E-1,1.004607010E1,1.502361596E-1,1.005759473E1
8.095502000E-2,-5.147533417E-1,1.004128170E1,1.454477459E-1,1.005551909E1
8.592278100E-2,-5.482721925E-1,1.004607010E1,1.454477459E-1,1.006207145E1
9.089054100E-2,-5.674257874E-1,1.004607010E1,1.358709484E-1,1.006299942E1
9.585830100E-2,-5.961562395E-1,1.004607010E1,1.215057373E-1,1.006447665E1
1.008260620E-1,-6.200982332E-1,1.003649330E1,1.167173311E-1,1.005630859E1
1.057938220E-1,-6.344634295E-1,1.002691650E1,1.071405262E-1,1.004754087E1
1.107615830E-1,-6.488286853E-1,1.003170490E1,1.071405262E-1,1.005323635E1
1.157293430E-1,-6.488286853E-1,1.004128170E1,9.756372124E-2,1.006269524E1
1.206971030E-1,-6.488286853E-1,1.003649330E1,9.756372124E-2,1.005791704E1
1.256648640E-1,-6.296750307E-1,1.002212811E1,8.798690885E-2,1.004227485E1
1.306326240E-1,-6.153098345E-1,1.003170490E1,8.798690885E-2,1.005094280E1
1.356003850E-1,-6.057330370E-1,1.002691650E1,8.798690885E-2,1.004558156E1
1.405681450E-1,-5.865794420E-1,1.002691650E1,7.841010392E-2,1.004436549E1
1.455359060E-1,-5.530605912E-1,1.002212811E1,8.319851011E-2,1.003772134E1
1.505036660E-1,-5.243301988E-1,1.002212811E1,8.319851011E-2,1.003617935E1
1.554714260E-1,-4.812345505E-1,1.001733971E1,8.319851011E-2,1.002923743E1
1.604391870E-1,-4.237737060E-1,1.001255131E1,9.756372124E-2,1.002199015E1
1.654069470E-1,-3.758896589E-1,1.000776291E1,1.023521200E-1,1.001534260E1
1.703747080E-1,-3.375824392E-1,9.998186111E0,1.023521200E-1,1.000440720E1
1.753424680E-1,-2.849099934E-1,1.000297451E1,1.167173311E-1,1.000771181E1
1.803102280E-1,-2.178723514E-1,9.983820915E0,1.071405262E-1,9.986772628E0
1.852779890E-1,-1.556231081E-1,9.969455719E0,1.310825497E-1,9.971531904E0
1.902457490E-1,-9.816227108E-2,9.959878922E0,1.406593472E-1,9.961355782E0
1.952135100E-1,-4.548983276E-2,9.935936928E0,1.454477459E-1,9.937105565E0
2.001812700E-1,2.633621916E-2,9.907206535E0,1.693897694E-1,9.908689511E0
2.051490310E-1,8.858546615E-2,9.902418137E0,1.837549806E-1,9.904519081E0
2.101167910E-1,1.508347094E-1,9.878476143E0,1.837549806E-1,9.881336342E0
2.150845510E-1,2.226607651E-1,9.844957352E0,2.076970041E-1,9.849665026E0
2.200523120E-1,2.801215947E-1,9.821015358E0,2.172738016E-1,9.827411596E0
2.250200720E-1,3.280056417E-1,9.787496567E0,2.124854028E-1,9.795296156E0
2.299878330E-1,3.902548850E-1,9.768342972E0,2.412158251E-1,9.779110817E0
