t	y
4,593750E-1	2,153936E-2
4,604167E-1	2,157966E-2
4,614583E-1	2,164381E-2
4,625000E-1	2,162426E-2
4,635417E-1	2,154477E-2
4,645833E-1	2,137500E-2
4,656250E-1	2,142651E-2
4,666667E-1	2,139119E-2
4,677083E-1	2,143130E-2
4,687500E-1	2,127638E-2
4,697917E-1	2,132307E-2
4,708333E-1	2,130256E-2
4,718750E-1	2,135186E-2
4,729167E-1	2,116021E-2
4,739583E-1	2,119742E-2
4,750000E-1	2,122790E-2
4,760417E-1	2,123396E-2
4,770833E-1	2,106786E-2
4,781250E-1	2,113196E-2
4,791667E-1	2,087902E-2
4,802083E-1	2,092283E-2
4,812500E-1	2,074947E-2
4,822917E-1	2,012982E-2
4,833333E-1	2,008776E-2
4,843750E-1	1,981970E-2
4,854167E-1	1,972358E-2
4,864583E-1	1,940993E-2
4,875000E-1	1,947806E-2
4,885417E-1	1,924519E-2
4,895833E-1	1,910465E-2
4,906250E-1	1,882220E-2
4,916667E-1	1,879165E-2
4,927083E-1	1,863787E-2
4,937500E-1	1,847534E-2
4,947917E-1	1,850859E-2
4,958333E-1	1,843478E-2
4,968750E-1	1,838901E-2
4,979167E-1	1,847287E-2
4,989583E-1	1,840274E-2
5,000000E-1	1,836256E-2
5,010417E-1	1,842787E-2
5,020833E-1	1,846358E-2
5,031250E-1	1,824988E-2
5,041667E-1	1,815327E-2
5,052083E-1	1,806525E-2
5,062500E-1	1,784185E-2
5,072917E-1	1,727931E-2
5,083333E-1	1,670370E-2
5,093750E-1	1,639432E-2
5,104167E-1	1,620301E-2
5,114583E-1	1,572212E-2
5,125000E-1	1,516048E-2
5,135417E-1	1,486975E-2
5,145833E-1	1,415114E-2
5,156250E-1	1,361774E-2
5,166667E-1	1,303123E-2
5,177083E-1	1,218689E-2
5,187500E-1	1,172681E-2
5,197917E-1	1,120937E-2
5,208333E-1	1,042694E-2
5,218750E-1	9,867767E-3
5,229167E-1	9,077089E-3
5,239583E-1	8,490476E-3
5,250000E-1	7,590511E-3
5,260417E-1	6,944102E-3
5,270833E-1	6,169587E-3
5,281250E-1	5,308544E-3
5,291667E-1	4,544843E-3
5,302083E-1	3,698458E-3
5,312500E-1	2,977034E-3
5,322917E-1	2,443562E-3
5,333333E-1	1,260302E-3
5,343750E-1	5,835496E-4
5,354167E-1	1,046382E-4
5,364583E-1	-1,040546E-3
5,375000E-1	-1,729087E-3
5,385417E-1	-2,414826E-3
5,395833E-1	-3,279167E-3
5,406250E-1	-4,118317E-3
5,416667E-1	-4,930503E-3
5,427083E-1	-5,282721E-3
5,437500E-1	-6,657692E-3
5,447917E-1	-7,358533E-3
5,458333E-1	-8,606263E-3
5,468750E-1	-9,609582E-3
5,479167E-1	-1,054106E-2
5,489583E-1	-1,140090E-2
5,500000E-1	-1,253849E-2
5,510417E-1	-1,341025E-2
5,520833E-1	-1,438804E-2
5,531250E-1	-1,531799E-2
5,541667E-1	-1,646517E-2
5,552083E-1	-1,728485E-2
5,562500E-1	-1,828618E-2
5,572917E-1	-1,926034E-2
5,583333E-1	-2,041792E-2
5,593750E-1	-2,143888E-2
5,604167E-1	-2,224973E-2
5,614583E-1	-2,345991E-2
5,625000E-1	-2,463225E-2
5,635417E-1	-2,559090E-2
5,645833E-1	-2,681558E-2
5,656250E-1	-2,792159E-2
5,666667E-1	-2,888890E-2
5,677083E-1	-2,991198E-2
5,687500E-1	-3,103448E-2
5,697917E-1	-3,227889E-2
5,708333E-1	-3,345753E-2
5,718750E-1	-3,450906E-2
5,729167E-1	-3,570471E-2
5,739583E-1	-3,708534E-2
5,750000E-1	-3,798519E-2
5,760417E-1	-3,921183E-2
5,770833E-1	-4,034803E-2
5,781250E-1	-4,189070E-2
5,791667E-1	-4,312610E-2
5,802083E-1	-4,417358E-2
5,812500E-1	-4,533747E-2
5,822917E-1	-4,655056E-2
5,833333E-1	-4,799860E-2
5,843750E-1	-4,934661E-2
5,854167E-1	-5,061164E-2
5,864583E-1	-5,184987E-2
5,875000E-1	-5,321849E-2
5,885417E-1	-5,456731E-2
5,895833E-1	-5,602637E-2
5,906250E-1	-5,744263E-2
5,916667E-1	-5,866333E-2
5,927083E-1	-6,009288E-2
5,937500E-1	-6,143544E-2
5,947917E-1	-6,283674E-2
5,958333E-1	-6,427822E-2
5,968750E-1	-6,544222E-2
5,979167E-1	-6,669844E-2
5,989583E-1	-6,816465E-2
6,000000E-1	-6,978117E-2
6,010417E-1	-7,111154E-2
6,020833E-1	-7,231031E-2
6,031250E-1	-7,319068E-2
6,041667E-1	-7,421043E-2
6,052083E-1	-7,551465E-2
6,062500E-1	-7,699471E-2
6,072917E-1	-7,854339E-2
6,083333E-1	-8,000576E-2
6,093750E-1	-8,149824E-2
6,104167E-1	-8,298452E-2
6,114583E-1	-8,450263E-2
6,125000E-1	-8,601194E-2
6,135417E-1	-8,769102E-2
6,145833E-1	-8,918628E-2
6,156250E-1	-9,081409E-2
6,166667E-1	-9,274669E-2
6,177083E-1	-9,445851E-2
6,187500E-1	-9,638873E-2
6,197917E-1	-9,852463E-2
6,208333E-1	-1,004726E-1
6,218750E-1	-1,021445E-1
6,229167E-1	-1,037686E-1
6,239583E-1	-1,054474E-1
6,250000E-1	-1,070746E-1
6,260417E-1	-1,088288E-1
6,270833E-1	-1,108677E-1
6,281250E-1	-1,126518E-1
6,291667E-1	-1,145227E-1
6,302083E-1	-1,159740E-1
6,312500E-1	-1,174049E-1
6,322917E-1	-1,187948E-1
6,333333E-1	-1,204520E-1
6,343750E-1	-1,219477E-1
6,354167E-1	-1,233629E-1
6,364583E-1	-1,249299E-1
6,375000E-1	-1,267388E-1
6,385417E-1	-1,280760E-1
6,395833E-1	-1,296496E-1
6,406250E-1	-1,319214E-1
6,416667E-1	-1,337375E-1
6,427083E-1	-1,356665E-1
6,437500E-1	-1,376503E-1
6,447917E-1	-1,395945E-1
6,458333E-1	-1,417530E-1
6,468750E-1	-1,436564E-1
6,479167E-1	-1,454293E-1
6,489583E-1	-1,475978E-1
6,500000E-1	-1,496942E-1
6,510417E-1	-1,515986E-1
6,520833E-1	-1,536140E-1
6,531250E-1	-1,556931E-1
6,541667E-1	-1,575454E-1
6,552083E-1	-1,595733E-1
6,562500E-1	-1,617534E-1
6,572917E-1	-1,636743E-1
6,583333E-1	-1,658893E-1
6,593750E-1	-1,677661E-1
6,604167E-1	-1,696521E-1
6,614583E-1	-1,717909E-1
6,625000E-1	-1,738422E-1
6,635417E-1	-1,760012E-1
6,645833E-1	-1,782422E-1
6,656250E-1	-1,801534E-1
6,666667E-1	-1,821187E-1
6,677083E-1	-1,842863E-1
6,687500E-1	-1,863611E-1
6,697917E-1	-1,887490E-1
6,708333E-1	-1,909795E-1
6,718750E-1	-1,930975E-1
6,729167E-1	-1,953123E-1
6,739583E-1	-1,974946E-1
6,750000E-1	-1,996165E-1
6,760417E-1	-2,018890E-1
6,770833E-1	-2,040830E-1
6,781250E-1	-2,062135E-1
6,791667E-1	-2,090063E-1
6,802083E-1	-2,115122E-1
6,812500E-1	-2,139244E-1
6,822917E-1	-2,165786E-1
6,833333E-1	-2,184481E-1
6,843750E-1	-2,211681E-1
6,854167E-1	-2,231080E-1
6,864583E-1	-2,257568E-1
6,875000E-1	-2,281072E-1
6,885417E-1	-2,304163E-1
6,895833E-1	-2,324081E-1
6,906250E-1	-2,350389E-1
6,916667E-1	-2,376020E-1
6,927083E-1	-2,395808E-1
6,937500E-1	-2,417991E-1
6,947917E-1	-2,430401E-1
6,958333E-1	-2,448557E-1
6,968750E-1	-2,474930E-1
6,979167E-1	-2,495420E-1
6,989583E-1	-2,522238E-1
7,000000E-1	-2,549600E-1
7,010417E-1	-2,570746E-1
7,020833E-1	-2,596295E-1
7,031250E-1	-2,625538E-1
7,041667E-1	-2,648073E-1
7,052083E-1	-2,678377E-1
7,062500E-1	-2,703608E-1
7,072917E-1	-2,729850E-1
7,083333E-1	-2,753904E-1
7,093750E-1	-2,780398E-1
7,104167E-1	-2,805735E-1
7,114583E-1	-2,831258E-1
7,125000E-1	-2,857537E-1
7,135417E-1	-2,882043E-1
7,145833E-1	-2,907308E-1
7,156250E-1	-2,935339E-1
7,166667E-1	-2,961827E-1
7,177083E-1	-2,989354E-1
7,187500E-1	-3,014655E-1
7,197917E-1	-3,040974E-1
7,208333E-1	-3,068623E-1
7,218750E-1	-3,096132E-1
7,229167E-1	-3,122747E-1
7,239583E-1	-3,148962E-1
7,250000E-1	-3,175910E-1
7,260417E-1	-3,203937E-1
7,270833E-1	-3,233793E-1
7,281250E-1	-3,260622E-1
7,291667E-1	-3,288323E-1
7,302083E-1	-3,315851E-1
7,312500E-1	-3,344673E-1
7,322917E-1	-3,371905E-1
7,333333E-1	-3,403348E-1
7,343750E-1	-3,431464E-1
7,354167E-1	-3,459299E-1
7,364583E-1	-3,488693E-1
7,375000E-1	-3,516122E-1
7,385417E-1	-3,547616E-1
7,395833E-1	-3,575773E-1
7,406250E-1	-3,600170E-1
7,416667E-1	-3,636500E-1
7,427083E-1	-3,662075E-1
7,437500E-1	-3,694338E-1
7,447917E-1	-3,722567E-1
7,458333E-1	-3,750685E-1
7,468750E-1	-3,784781E-1
7,479167E-1	-3,813875E-1
7,489583E-1	-3,843216E-1
7,500000E-1	-3,874981E-1
7,510417E-1	-3,902112E-1
7,520833E-1	-3,932099E-1
7,531250E-1	-3,959715E-1
7,541667E-1	-3,984871E-1
7,552083E-1	-4,019659E-1
7,562500E-1	-4,045690E-1
7,572917E-1	-4,077532E-1
7,583333E-1	-4,109383E-1
7,593750E-1	-4,138041E-1
7,604167E-1	-4,173406E-1
7,614583E-1	-4,202023E-1
7,625000E-1	-4,234527E-1
7,635417E-1	-4,264961E-1
7,645833E-1	-4,295197E-1
7,656250E-1	-4,328666E-1
7,666667E-1	-4,359751E-1
7,677083E-1	-4,391019E-1
7,687500E-1	-4,421256E-1
7,697917E-1	-4,454110E-1
7,708333E-1	-4,490054E-1
7,718750E-1	-4,520310E-1
7,729167E-1	-4,553839E-1
7,739583E-1	-4,584313E-1
7,750000E-1	-4,618533E-1
7,760417E-1	-4,649925E-1
7,770833E-1	-4,684687E-1
7,781250E-1	-4,718524E-1
7,791667E-1	-4,752979E-1
7,802083E-1	-4,784681E-1
7,812500E-1	-4,818695E-1
7,822917E-1	-4,851808E-1
7,833333E-1	-4,889102E-1
7,843750E-1	-4,921110E-1
7,854167E-1	-4,953629E-1
7,864583E-1	-4,988467E-1
7,875000E-1	-5,024245E-1
7,885417E-1	-5,057765E-1
7,895833E-1	-5,093707E-1
7,906250E-1	-5,127845E-1
7,916667E-1	-5,162944E-1
7,927083E-1	-5,196833E-1
7,937500E-1	-5,234051E-1
7,947917E-1	-5,267488E-1
7,958333E-1	-5,304265E-1
7,968750E-1	-5,337140E-1
7,979167E-1	-5,374929E-1
7,989583E-1	-5,409555E-1
8,000000E-1	-5,442578E-1
8,010417E-1	-5,478054E-1
8,020833E-1	-5,514547E-1
8,031250E-1	-5,547487E-1
8,041667E-1	-5,587160E-1
8,052083E-1	-5,623140E-1
8,062500E-1	-5,655787E-1
8,072917E-1	-5,693298E-1
8,083333E-1	-5,729525E-1
8,093750E-1	-5,763702E-1
8,104167E-1	-5,803587E-1
8,114583E-1	-5,840586E-1
8,125000E-1	-5,880173E-1
8,135417E-1	-5,916560E-1
8,145833E-1	-5,955181E-1
8,156250E-1	-5,991006E-1
8,166667E-1	-6,028160E-1
8,177083E-1	-6,065776E-1
8,187500E-1	-6,105869E-1
8,197917E-1	-6,140444E-1
8,208333E-1	-6,179761E-1
8,218750E-1	-6,217935E-1
8,229167E-1	-6,258424E-1
8,239583E-1	-6,295835E-1
8,250000E-1	-6,334673E-1
8,260417E-1	-6,370415E-1
8,270833E-1	-6,410363E-1
8,281250E-1	-6,449044E-1
8,291667E-1	-6,492116E-1
8,302083E-1	-6,528666E-1
8,312500E-1	-6,570108E-1
8,322917E-1	-6,608577E-1
8,333333E-1	-6,648161E-1
8,343750E-1	-6,688225E-1
8,354167E-1	-6,731094E-1
8,364583E-1	-6,768424E-1
8,375000E-1	-6,811108E-1
8,385417E-1	-6,851851E-1
8,395833E-1	-6,888408E-1
8,406250E-1	-6,929748E-1
8,416667E-1	-6,974138E-1
8,427083E-1	-7,015815E-1
8,437500E-1	-7,056321E-1
8,447917E-1	-7,098981E-1
8,458333E-1	-7,143084E-1
8,468750E-1	-7,183667E-1
8,479167E-1	-7,224521E-1
8,489583E-1	-7,267609E-1
8,500000E-1	-7,307785E-1
8,510417E-1	-7,353885E-1
8,520833E-1	-7,396629E-1
8,531250E-1	-7,438394E-1
8,541667E-1	-7,479321E-1
8,552083E-1	-7,523295E-1
8,562500E-1	-7,563317E-1
