"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.161271700E-2,6.488286853E-1,9.045293808E0,-2.280477136E-1,9.071401463E0
2.658037400E-2,6.344634295E-1,9.074024200E0,-2.376245260E-1,9.099281535E0
3.154803000E-2,6.200982332E-1,9.088389397E0,-2.567781210E-1,9.113137695E0
3.651568600E-2,6.105214357E-1,9.074024200E0,-2.663549483E-1,9.098439238E0
4.148334200E-2,5.961562395E-1,9.059659004E0,-2.519897223E-1,9.082748612E0
4.645099900E-2,5.674257874E-1,9.074024200E0,-2.424129248E-1,9.094979452E0
5.141865500E-2,5.722141862E-1,9.078812599E0,-2.232593149E-1,9.099566584E0
5.638631100E-2,5.674257874E-1,9.083600998E0,-2.232593149E-1,9.104044367E0
6.135396700E-2,5.770025849E-1,9.097966194E0,-2.136825025E-1,9.118748876E0
6.632162400E-2,5.770025849E-1,9.102754593E0,-1.945288926E-1,9.123097865E0
7.128928000E-2,5.865794420E-1,9.131484985E0,-1.993172914E-1,9.152476215E0
7.625693600E-2,6.105214357E-1,9.131484985E0,-1.514332592E-1,9.153124412E0
8.122459200E-2,6.344634295E-1,9.188945770E0,-1.562216580E-1,9.212148144E0
8.619224900E-2,6.584054828E-1,9.198522568E0,-1.514332592E-1,9.223299152E0
9.115990500E-2,6.871358752E-1,9.222464561E0,-1.418564469E-1,9.249115177E0
9.612756100E-2,6.919242740E-1,9.260771751E0,-1.227028370E-1,9.287395147E0
1.010952170E-1,6.919242740E-1,9.284713745E0,-1.083376259E-1,9.311090461E0
1.060628740E-1,7.015010715E-1,9.318233490E0,-1.322796494E-1,9.345537814E0
1.110305300E-1,6.967126727E-1,9.337387085E0,-1.562216580E-1,9.364646888E0
1.159981860E-1,6.871358752E-1,9.351752281E0,-1.657984704E-1,9.378428204E0
1.209658420E-1,6.871358752E-1,9.366117477E0,-1.849520802E-1,9.393110219E0
1.259334990E-1,6.631938815E-1,9.351752281E0,-1.801636815E-1,9.376969436E0
1.309011550E-1,6.488286853E-1,9.342175484E0,-1.705868691E-1,9.366233037E0
1.358688110E-1,6.248866320E-1,9.337387085E0,-1.801636815E-1,9.360007470E0
1.408364670E-1,5.961562395E-1,9.366117477E0,-2.232593149E-1,9.387726220E0
1.458041240E-1,5.243301988E-1,9.380482674E0,-2.902969420E-1,9.399609016E0
1.507717800E-1,4.908113480E-1,9.385271072E0,-3.046621680E-1,9.403032911E0
1.557394360E-1,4.572925270E-1,9.414001465E0,-2.615665495E-1,9.428730407E0
1.607070920E-1,4.285621047E-1,9.437943459E0,-2.280477136E-1,9.450420518E0
1.656747490E-1,4.285621047E-1,9.452308655E0,-1.993172914E-1,9.464118119E0
1.706424050E-1,4.046200812E-1,9.538499832E0,-2.041056901E-1,9.549259426E0
1.756100610E-1,3.950432837E-1,9.615114212E0,-1.849520802E-1,9.625003261E0
1.805777170E-1,3.758896589E-1,9.701305389E0,-1.801636815E-1,9.710256343E0
1.855453740E-1,3.615244627E-1,9.782708168E0,-1.514332592E-1,9.790557240E0
1.905130300E-1,3.519476354E-1,9.840168953E0,-8.918401599E-2,9.846864778E0
1.954806860E-1,3.519476354E-1,9.892841339E0,-3.651157767E-2,9.899167136E0
2.004483420E-1,3.471592367E-1,9.926360130E0,1.137245819E-2,9.932435467E0
2.054159990E-1,3.423708379E-1,9.940725327E0,5.446808785E-2,9.946768550E0
2.103836550E-1,3.567360640E-1,9.964667320E0,7.841010392E-2,9.971359163E0
2.153513110E-1,3.567360640E-1,9.983820915E0,1.023521200E-1,9.990716523E0
2.203189670E-1,3.567360640E-1,1.001255131E1,1.215057373E-1,1.001964111E1
2.252866240E-1,3.711012602E-1,1.002691650E1,1.406593472E-1,1.003476735E1
2.302542800E-1,3.758896589E-1,1.002212811E1,1.646013707E-1,1.003052533E1
2.352219360E-1,3.854664862E-1,1.001255131E1,1.741781682E-1,1.002148223E1
2.401895920E-1,3.950432837E-1,1.003170490E1,1.693897694E-1,1.004090909E1
2.451572490E-1,4.046200812E-1,1.004607010E1,1.454477459E-1,1.005526712E1
2.501249050E-1,4.189853072E-1,1.005085850E1,1.358709484E-1,1.006050526E1
2.550925610E-1,4.094084799E-1,1.007001209E1,1.215057373E-1,1.007906357E1
2.600602170E-1,4.237737060E-1,1.008916569E1,9.756372124E-2,1.009853292E1
2.650278740E-1,4.381389022E-1,1.009874249E1,8.798690885E-2,1.010862538E1
2.699955820E-1,4.477157295E-1,1.011789608E1,6.883329898E-2,1.012803083E1
2.749632900E-1,4.620809257E-1,1.016578007E1,4.967968538E-2,1.017639775E1
2.799309990E-1,4.668693244E-1,1.018972206E1,3.052607179E-2,1.020045756E1
2.848987070E-1,4.812345505E-1,1.022324085E1,2.573766746E-2,1.023459343E1
2.898664150E-1,4.812345505E-1,1.028549004E1,1.616086066E-2,1.029675450E1
2.948341240E-1,5.003881454E-1,1.032858658E1,6.584054790E-3,1.034070270E1
2.998018320E-1,5.051765442E-1,1.038125896E1,1.137245819E-2,1.039354946E1
3.047695400E-1,4.955997467E-1,1.043871975E1,1.616086066E-2,1.045049043E1
3.097372490E-1,4.955997467E-1,1.047702694E1,2.573766746E-2,1.048877376E1
3.147049570E-1,4.860229492E-1,1.052969933E1,3.531447425E-2,1.054096928E1
3.196726650E-1,4.955997467E-1,1.057758331E1,3.052607179E-2,1.058923131E1
3.246403740E-1,4.812345505E-1,1.062067890E1,4.010287672E-2,1.063165158E1
3.296080820E-1,4.572925270E-1,1.063983250E1,5.925649032E-2,1.064981987E1
3.345757900E-1,4.429273009E-1,1.065898609E1,7.362170517E-2,1.066843893E1
3.395434990E-1,4.285621047E-1,1.069250488E1,8.798690885E-2,1.070145167E1
3.445112070E-1,4.046200812E-1,1.079784966E1,1.071405262E-1,1.080595917E1
3.494789150E-1,3.902548850E-1,1.078827286E1,8.798690885E-2,1.079568765E1
3.544466240E-1,3.423708379E-1,1.064462090E1,1.550245583E-1,1.065125365E1
3.594143320E-1,2.849099934E-1,1.068292809E1,1.837549806E-1,1.068830632E1
3.643820400E-1,2.322375625E-1,1.072123528E1,1.646013707E-1,1.072501346E1
3.693497490E-1,1.891419291E-1,1.072123528E1,1.741781682E-1,1.072431809E1
3.743174570E-1,1.316810995E-1,1.074996567E1,1.933317930E-1,1.075251036E1
3.792851650E-1,1.029506698E-1,1.077390766E1,1.837549806E-1,1.077596636E1
3.842528740E-1,6.943184882E-2,1.079306126E1,1.981201917E-1,1.079510276E1
3.892205820E-1,2.633621916E-2,1.088882923E1,1.646013707E-1,1.089010511E1
3.941882900E-1,-3.112462163E-2,1.090798283E1,1.981201917E-1,1.090982629E1
3.991559990E-1,-7.422025502E-2,1.094150162E1,1.981201917E-1,1.094354686E1
4.041237070E-1,-1.460463107E-1,1.096065521E1,1.741781682E-1,1.096301191E1
4.090914150E-1,-2.082955539E-1,1.097502041E1,1.693897694E-1,1.097830374E1
4.140591240E-1,-2.418143749E-1,1.103726959E1,1.119289324E-1,1.104048560E1
4.190268320E-1,-2.896983922E-1,1.108994198E1,7.841010392E-2,1.109400227E1
4.239945400E-1,-3.519476354E-1,1.109951878E1,6.883329898E-2,1.110531054E1
4.289622490E-1,-3.806780577E-1,1.111867237E1,1.616086066E-2,1.112519898E1
4.339299570E-1,-3.806780577E-1,1.120486355E1,-7.003039867E-2,1.121154705E1
4.388976650E-1,-3.998316824E-1,1.122880554E1,-7.960720360E-2,1.123620383E1
4.438653740E-1,-4.046200812E-1,1.122880554E1,-8.439560980E-2,1.123641019E1
4.488330820E-1,-4.046200812E-1,1.121444035E1,-1.035492271E-1,1.122221512E1
4.538007900E-1,-3.998316824E-1,1.119528675E1,-1.370680481E-1,1.120326285E1
4.587684990E-1,-3.950432837E-1,1.118092155E1,-1.514332592E-1,1.118892301E1
4.637362070E-1,-3.854664862E-1,1.116655636E1,-1.849520802E-1,1.117473814E1
4.687039150E-1,-3.902548850E-1,1.114261436E1,-1.945288926E-1,1.115114323E1
4.736716240E-1,-3.711012602E-1,1.113782597E1,-2.280477136E-1,1.114633972E1
4.786393320E-1,-3.711012602E-1,1.110430717E1,-2.328361124E-1,1.111294590E1
4.836070400E-1,-3.758896589E-1,1.109951878E1,-2.663549483E-1,1.110907535E1
4.885747490E-1,-3.854664862E-1,1.108994198E1,-2.950853705E-1,1.110056183E1
4.935424570E-1,-3.998316824E-1,1.110909557E1,-3.333925903E-1,1.112128682E1
4.985101650E-1,-4.094084799E-1,1.109951878E1,-3.621230125E-1,1.111296835E1
5.034778740E-1,-4.333505034E-1,1.109951878E1,-4.004302323E-1,1.111519024E1
5.084455820E-1,-4.477157295E-1,1.106599998E1,-4.147954583E-1,1.108281825E1
5.134132380E-1,-4.620809257E-1,1.102290440E1,-4.052186310E-1,1.104002456E1
5.183808940E-1,-4.955997467E-1,1.097502041E1,-4.100070298E-1,1.099385273E1
5.233485510E-1,-5.578489900E-1,1.091755962E1,-3.716998100E-1,1.093811978E1
5.283162070E-1,-5.626373887E-1,1.088882923E1,-3.669114113E-1,1.090952734E1
