Freq(Hz),Gain(dB),Phase
100.000000,-4.089194,177.849411
107.977516,-3.631941,177.979523
116.591440,-3.535586,-178.691498
125.892541,-3.714090,-177.982452
135.935639,-3.966086,178.694519
146.779926,-3.837361,178.031464
158.489319,-3.667799,-178.395569
171.132830,-3.913601,-178.507996
184.784979,-3.872556,177.605225
199.526231,-3.705080,-178.000519
215.443469,-3.956209,178.984161
232.630506,-3.706498,178.965271
251.188643,-3.911125,178.194305
271.227257,-3.753230,177.988205
292.864456,-3.577958,-178.738144
316.227766,-3.768224,-177.467072
341.454887,-4.009774,178.223419
368.694506,-3.823171,177.493103
398.107170,-3.654203,-178.293060
429.866234,-3.935916,-178.680420
464.158883,-3.846372,177.505951
501.187233,-3.976234,177.632660
541.169526,-3.792775,177.194702
584.341413,-3.617266,-178.489456
630.957344,-3.766812,-178.084381
681.292069,-3.994934,178.548584
735.642254,-3.834363,177.411011
794.328234,-3.668714,-178.330948
857.695898,-3.914218,-178.948212
926.118728,-3.860334,177.613403
1000.000000,-3.708065,-178.329376
1079.775162,-3.650284,177.068237
1165.914401,-3.512071,177.966629
1258.925411,-3.712837,-178.221466
1359.356390,-3.987437,178.159760
1467.799267,-3.834402,176.363373
1584.893192,-3.644994,178.173920
1711.328304,-3.931139,179.022827
1847.849797,-3.887244,176.808853
1995.262314,-3.692970,178.260529
2154.434690,-3.990746,177.927521
2326.305067,-3.673641,176.797943
2511.886431,-3.893517,175.944824
2712.272579,-3.750971,175.155457
2928.644564,-3.597416,176.624420
3162.277660,-3.792422,177.706757
3414.548873,-4.004573,176.783783
3686.945064,-3.847192,174.823425
3981.071705,-3.719870,175.807297
4298.662347,-3.960153,176.004669
4641.588833,-3.902009,173.410400
5011.872336,-4.079914,172.497025
5411.695265,-3.844473,171.711563
5843.414133,-3.680607,173.058685
6309.573444,-3.895307,173.683929
6812.920690,-4.133368,172.749939
7356.422544,-3.960345,170.335632
7943.282347,-3.831365,171.219940
8576.958985,-4.119301,170.611374
9261.187281,-4.086878,166.639893
10000.000000,-4.005078,167.950592
10797.751623,-3.890291,164.379486
11659.144011,-3.891401,165.047791
12589.254117,-4.170113,163.249969
13593.563908,-4.402784,162.347656
14677.992676,-4.269786,157.207687
15848.931924,-4.369941,156.988312
17113.283041,-4.643953,154.825409
18478.497974,-4.627195,148.240662
19952.623149,-4.810880,147.310104
21544.346900,-5.186253,144.223907
23263.050671,-4.999717,140.050995
25118.864315,-5.393285,132.356522
27122.725793,-4.686511,124.893585
29286.445646,-5.293900,120.783432
31622.776601,-5.516297,113.365517
34145.488738,-6.091084,104.247833
36869.450645,-5.148008,95.438889
39810.717055,-5.462519,85.442429
42986.623470,-5.579860,76.476280
46415.888336,-4.764914,65.450798
50118.723362,-4.438869,53.522270
54116.952654,-3.793884,45.279221
58434.141337,-3.509225,34.770863
63095.734448,-3.085230,29.621960
68129.206905,-2.952195,23.589859
73564.225445,-2.724936,21.268801
79432.823472,-2.713322,19.583668
85769.589859,-2.852439,19.446915
92611.872812,-2.742482,18.465931
100000.000000,-2.751749,18.353664
107977.516232,-2.753203,18.853989
116591.440117,-2.964708,17.162502
125892.541179,-3.017226,19.570131
135935.639087,-3.165696,17.666355
146779.926762,-3.108930,17.255598
158489.319246,-3.217285,16.192404
171132.830416,-3.423877,15.972918
184784.979742,-3.389811,14.764709
199526.231496,-3.469460,13.664070
215443.469003,-3.649819,12.480420
232630.506715,-3.693189,11.059202
251188.643150,-3.822101,9.890734
271227.257933,-3.866861,9.044574
292864.456462,-4.110119,7.526776
316227.766016,-4.293620,7.282286
341454.887383,-4.321661,6.028605
368694.506451,-4.486739,4.812179
398107.170553,-4.670858,2.775482
429866.234708,-4.868676,-1.781017
464158.883361,-5.025448,-2.768674
501187.233627,-5.196521,-3.656068
541169.526546,-5.287794,-5.835711
584341.413373,-5.521749,-7.240583
630957.344480,-5.723253,-9.538389
681292.069057,-5.841887,-10.313484
735642.254459,-6.000104,-14.614848
794328.234724,-6.324637,-16.541943
857695.898590,-6.379883,-17.969923
926118.728128,-6.654169,-21.601082
1000000.000000,-6.949681,-23.593704
