RIGOL Bode Data
Para Set
StartFreq:,100.000000
StopFreq:,1000000.000000
Freq(Hz),Gain(dB),Phase
100.000000,4.755337,178.386978
107.977516,5.114849,177.535965
116.591440,5.185104,178.699890
125.892541,5.038534,-178.300140
135.935639,4.843464,178.864731
146.779926,4.949463,178.323547
158.489319,5.082065,-178.626740
171.132830,4.886986,-178.805756
184.784979,4.915368,178.115051
199.526231,5.051228,-178.184921
215.443469,4.836609,-178.478210
232.630506,5.044096,178.795609
251.188643,4.881945,178.353607
271.227257,5.023817,177.931366
292.864456,5.159993,-178.663437
316.227766,5.002988,-178.234314
341.454887,4.796080,178.773575
368.694506,4.947853,178.087585
398.107170,5.084856,-178.363281
429.866234,4.859946,-179.023895
464.158883,4.928730,178.102188
501.187233,4.833692,178.074936
541.169526,4.972847,177.704346
584.341413,5.099993,-178.430984
630.957344,4.988017,-178.477112
681.292069,4.821324,178.693558
735.642254,4.940094,178.130463
794.328234,5.069822,178.799545
857.695898,4.873435,179.292450
926.118728,4.918168,178.412201
1000.000000,5.035224,179.187195
1079.775162,5.082433,177.904785
1165.914401,5.187889,178.811707
1258.925411,5.031765,-178.829468
1359.356390,4.807479,178.716125
1467.799267,4.934408,177.451981
1584.893192,5.087018,178.565308
1711.328304,4.868375,179.219543
1847.849797,4.899118,177.474609
1995.262314,5.046544,178.732468
2154.434690,4.813919,178.417328
2326.305067,5.048806,177.823517
2511.886431,4.884449,177.265137
2712.272579,4.999219,176.450409
2928.644564,5.108709,177.450943
3162.277660,4.969599,178.227509
3414.548873,4.795733,177.537949
3686.945064,4.923249,176.049438
3981.071705,5.025717,177.010956
4298.662347,4.830639,177.071777
4641.588833,4.879897,174.895660
5011.872336,4.754921,174.193527
5411.695265,4.931649,173.195557
5843.414133,5.078979,174.508240
6309.573444,4.912972,175.085861
6812.920690,4.721899,174.424469
7356.422544,4.858916,172.086853
7943.282347,4.944414,173.389038
8576.958985,4.711414,173.077133
9261.187281,4.733343,170.178589
10000.000000,4.799546,170.997650
10797.751623,4.859419,168.335052
11659.144011,4.856462,168.647400
12589.254117,4.647434,167.594666
13593.563908,4.458445,166.939514
14677.992676,4.509601,162.999298
15848.931924,4.446316,163.042358
17113.283041,4.222276,161.573303
18478.497974,4.097114,156.833847
19952.623149,3.956834,156.452866
21544.346900,3.609077,154.519394
23263.050671,3.623696,151.176865
25118.864315,3.085467,145.777344
27122.725793,3.387066,140.208008
29286.445646,2.743849,138.219330
31622.776601,2.251226,132.948517
34145.488738,1.282569,127.013229
36869.450645,1.404749,118.378891
39810.717055,-1.078399,111.083984
42986.623470,-1.252516,102.900681
46415.888336,-1.075382,90.126938
50118.723362,-1.677729,75.748840
54116.952654,-1.759629,65.062485
58434.141337,-2.516019,50.805214
63095.734448,-2.415125,43.464275
68129.206905,-2.579870,35.617538
73564.225445,-2.471038,33.065636
79432.823472,-2.665607,30.933304
85769.589859,-2.845464,30.999002
92611.872812,-2.694292,30.765568
100000.000000,-2.815957,30.228004
107977.516232,-2.797368,31.524862
116591.440117,-3.289767,30.271664
125892.541179,-3.147107,33.538162
135935.639087,-3.405123,31.015202
146779.926762,-3.323424,30.745522
158489.319246,-3.535259,28.855988
171132.830416,-3.841721,28.164753
184784.979742,-3.847675,26.762325
199526.231496,-4.109280,24.866449
215443.469003,-4.379624,23.070467
232630.506715,-4.607036,22.015270
251188.643150,-4.761717,20.064373
271227.257933,-4.925407,19.577049
292864.456462,-5.364597,16.769142
316227.766016,-5.578264,17.687141
341454.887383,-5.681942,14.556303
368694.506451,-5.925722,12.898133
398107.170553,-6.414610,9.100951
429866.234708,-6.624374,7.490612
464158.883361,-6.843340,5.562846
501187.233627,-7.007831,4.134935
541169.526546,-7.233083,-3.614766
584341.413373,-7.676144,-3.372402
630957.344480,-7.973282,-4.230917
681292.069057,-8.215650,-5.116495
735642.254459,-8.363148,-9.298708
794328.234724,-8.706062,-9.977044
857695.898590,-8.927172,-12.058519
926118.728128,-9.398214,-15.407651
1000000.000000,-9.790541,-17.086874
