Freq(Hz),Gain(dB),Phase
100.000000,16.101589,178.137360
107.977516,16.492813,177.707092
116.591440,16.572866,-178.640320
125.892541,16.421923,-178.264267
135.935639,16.205578,-179.029526
146.779926,16.320484,178.291763
158.489319,16.456041,-178.506653
171.132830,16.253086,-178.796906
184.784979,16.289627,178.528015
199.526231,16.434799,-178.659698
215.443469,16.212345,-179.308746
232.630506,16.430714,178.782669
251.188643,16.251694,178.161652
271.227257,16.403448,177.688904
292.864456,16.549023,-178.658325
316.227766,16.390539,-178.336426
341.454887,16.162109,178.465469
368.694506,16.330904,177.695190
398.107170,16.487495,-178.315872
429.866234,16.227411,-178.787476
464.158883,16.304146,177.610535
501.187233,16.201035,177.559631
541.169526,16.356651,177.247314
584.341413,16.504948,178.377991
630.957344,16.376066,-178.632629
681.292069,16.186773,179.070496
735.642254,16.318924,177.900497
794.328234,16.458378,178.908035
857.695898,16.256277,179.282394
926.118728,16.299431,177.387939
1000.000000,16.425247,178.690643
1079.775162,16.485123,177.163147
1165.914401,16.608425,178.025513
1258.925411,16.430237,178.978638
1359.356390,16.201311,178.248932
1467.799267,16.331064,176.220688
1584.893192,16.488941,177.536255
1711.328304,16.246899,178.032028
1847.849797,16.274429,175.927429
1995.262314,16.436916,176.594666
2154.434690,16.183680,176.349380
2326.305067,16.440477,175.805786
2511.886431,16.244989,174.799194
2712.272579,16.387442,173.793427
2928.644564,16.508121,174.973343
3162.277660,16.343048,175.194244
3414.548873,16.154255,174.619080
3686.945064,16.292355,172.666992
3981.071705,16.381783,173.863861
4298.662347,16.178875,173.689026
4641.588833,16.224030,171.295700
5011.872336,16.061180,169.946747
5411.695265,16.282814,168.430542
5843.414133,16.405069,169.827972
6309.573444,16.203789,169.807312
6812.920690,15.994226,169.370941
7356.422544,16.133106,166.005173
7943.282347,16.182199,167.039490
8576.958985,15.927092,166.216156
9261.187281,15.914005,162.170502
10000.000000,15.896999,162.827606
10797.751623,16.014248,158.728699
11659.144011,15.901328,159.193573
12589.254117,15.603113,157.126007
13593.563908,15.231295,156.214615
14677.992676,15.274757,150.643860
15848.931924,14.973166,150.326935
17113.283041,14.636061,148.171600
18478.497974,14.344008,142.314301
19952.623149,13.817013,140.992416
21544.346900,13.065196,137.603088
23263.050671,12.761391,134.096527
25118.864315,11.879971,127.580978
27122.725793,11.807575,122.078316
29286.445646,10.463855,121.484283
31622.776601,9.796637,116.052994
34145.488738,8.097753,110.499390
36869.450645,7.408271,104.388786
39810.717055,5.850745,100.129990
42986.623470,4.629013,96.901932
46415.888336,4.230005,91.821381
50118.723362,3.606560,88.911888
54116.952654,3.953983,89.410675
58434.141337,3.155752,91.255501
63095.734448,3.771071,90.619736
68129.206905,3.045944,89.402481
73564.225445,3.436793,87.870407
79432.823472,2.930435,87.534897
85769.589859,2.663424,88.717529
92611.872812,2.695602,85.640198
100000.000000,2.165419,84.889549
107977.516232,2.430769,84.508865
116591.440117,1.346981,85.378975
125892.541179,1.561653,84.362473
135935.639087,-1.048841,82.055084
146779.926762,0.934114,80.108505
158489.319246,-0.958428,79.187965
171132.830416,-1.028224,80.024307
184784.979742,-0.916019,76.635376
199526.231496,-1.564988,75.349236
215443.469003,-2.267459,73.565292
232630.506715,-2.578496,74.076706
251188.643150,-2.907461,70.266449
271227.257933,-2.693685,72.636765
292864.456462,-4.108009,70.784866
316227.766016,-4.322533,69.134216
341454.887383,-5.152406,63.560577
368694.506451,-5.123147,64.431717
398107.170553,-6.212562,61.184814
429866.234708,-7.080892,58.512672
464158.883361,-7.129206,56.701347
501187.233627,-7.969491,51.904381
541169.526546,-8.366858,52.533440
584341.413373,-9.452581,48.470062
630957.344480,-10.029923,44.903584
681292.069057,-10.631559,39.836472
735642.254459,-10.893651,40.211781
794328.234724,-12.197130,35.086662
857695.898590,-12.602079,30.115009
926118.728128,-12.779085,30.467373
1000000.000000,-13.694870,24.956898
