Time(s),CH1V,CH2V
-2.500000e-03,-2.420533e+00,5.010667e-02
-2.495000e-03,-2.523733e+00,5.146667e-02
-2.490000e-03,-2.523733e+00,4.997333e-02
-2.485000e-03,-2.532267e+00,4.693333e-02
-2.480000e-03,-2.525867e+00,4.313333e-02
-2.475000e-03,-2.523733e+00,4.344000e-02
-2.470000e-03,-2.536800e+00,4.164000e-02
-2.465000e-03,-2.502933e+00,3.990667e-02
-2.460000e-03,-2.512800e+00,3.940000e-02
-2.455000e-03,-2.520267e+00,3.722667e-02
-2.450000e-03,-2.512800e+00,3.430667e-02
-2.445000e-03,-2.523733e+00,3.442667e-02
-2.440000e-03,-2.525867e+00,3.069333e-02
-2.435000e-03,-2.509333e+00,3.232000e-02
-2.430000e-03,-2.512800e+00,2.858667e-02
-2.425000e-03,-2.510400e+00,2.746667e-02
-2.420000e-03,-2.508267e+00,2.497333e-02
-2.415000e-03,-2.514933e+00,2.529333e-02
-2.410000e-03,-2.519200e+00,2.497333e-02
-2.405000e-03,-2.513867e+00,2.230667e-02
-2.400000e-03,-2.512800e+00,2.100000e-02
-2.395000e-03,-2.520267e+00,1.901333e-02
-2.390000e-03,-2.514933e+00,1.888000e-02
-2.385000e-03,-2.519200e+00,1.801333e-02
-2.380000e-03,-2.525867e+00,1.402667e-02
-2.375000e-03,-2.523733e+00,1.384000e-02
-2.370000e-03,-2.517067e+00,1.428000e-02
-2.365000e-03,-2.530133e+00,1.210667e-02
-2.360000e-03,-2.517067e+00,9.560000e-03
-2.355000e-03,-2.522667e+00,9.426666e-03
-2.350000e-03,-2.530133e+00,7.693333e-03
-2.345000e-03,-2.533600e+00,5.693333e-03
-2.340000e-03,-2.521333e+00,5.826666e-03
-2.335000e-03,-2.524800e+00,1.840000e-03
-2.330000e-03,-2.523733e+00,-7.733333e-04
-2.325000e-03,-2.513867e+00,-3.333333e-04
-2.320000e-03,-2.517067e+00,-2.640000e-03
-2.315000e-03,-2.506133e+00,-1.573333e-03
-2.310000e-03,-2.521333e+00,-1.760000e-03
-2.305000e-03,-2.526933e+00,-4.626667e-03
-2.300000e-03,-2.521333e+00,-5.866667e-03
-2.295000e-03,-2.519200e+00,-5.120000e-03
-2.290000e-03,-2.528000e+00,-7.733333e-03
-2.285000e-03,-2.523733e+00,-8.226667e-03
-2.280000e-03,-2.512800e+00,-1.009333e-02
-2.275000e-03,-2.537867e+00,-1.228000e-02
-2.270000e-03,-2.514933e+00,-1.432000e-02
-2.265000e-03,-2.513867e+00,-1.445333e-02
-2.260000e-03,-2.517067e+00,-1.606667e-02
-2.255000e-03,-2.508267e+00,-1.600000e-02
-2.250000e-03,-2.512800e+00,-1.805333e-02
-2.245000e-03,-2.510400e+00,-1.898667e-02
-2.240000e-03,-2.512800e+00,-2.129333e-02
-2.235000e-03,-2.505067e+00,-2.097333e-02
-2.230000e-03,-2.528000e+00,-2.402667e-02
-2.225000e-03,-2.523733e+00,-2.465333e-02
-2.220000e-03,-2.517067e+00,-2.477333e-02
-2.215000e-03,-2.523733e+00,-2.726667e-02
-2.210000e-03,-2.530133e+00,-2.776000e-02
-2.205000e-03,-2.532267e+00,-2.968000e-02
-2.200000e-03,-2.530133e+00,-3.000000e-02
-2.195000e-03,-2.530133e+00,-3.074667e-02
-2.190000e-03,-2.528000e+00,-3.049333e-02
-2.185000e-03,-2.514933e+00,-3.154667e-02
-2.180000e-03,-2.517067e+00,-3.348000e-02
-2.175000e-03,-2.517067e+00,-3.497333e-02
-2.170000e-03,-2.525867e+00,-3.509333e-02
-2.165000e-03,-2.522667e+00,-3.752000e-02
-2.160000e-03,-2.525867e+00,-3.696000e-02
-2.155000e-03,-2.505067e+00,-3.870667e-02
-2.150000e-03,-2.528000e+00,-4.069333e-02
-2.145000e-03,-2.530133e+00,-4.069333e-02
-2.140000e-03,-2.504000e+00,-4.368000e-02
-2.135000e-03,-2.526933e+00,-4.286667e-02
-2.130000e-03,-2.525867e+00,-4.554667e-02
-2.125000e-03,-2.532267e+00,-4.541333e-02
-2.120000e-03,-2.525867e+00,-4.566666e-02
-2.115000e-03,-2.530133e+00,-4.734667e-02
-2.110000e-03,-2.521333e+00,-4.741333e-02
-2.105000e-03,-2.509333e+00,-5.077333e-02
-2.100000e-03,-2.530133e+00,-4.989333e-02
-2.095000e-03,-2.519200e+00,-5.145333e-02
-2.090000e-03,-2.512800e+00,-5.362667e-02
-2.085000e-03,-2.507200e+00,-5.537333e-02
-2.080000e-03,-2.504000e+00,-5.412000e-02
-2.075000e-03,-2.520267e+00,-5.717333e-02
-2.070000e-03,-2.514933e+00,-5.636000e-02
-2.065000e-03,-2.531200e+00,-5.792000e-02
-2.060000e-03,-2.512800e+00,-5.736000e-02
-2.055000e-03,-2.530133e+00,-6.004000e-02
-2.050000e-03,-2.525867e+00,-6.021333e-02
-2.045000e-03,-2.533600e+00,-5.953333e-02
-2.040000e-03,-2.508267e+00,-6.109333e-02
-2.035000e-03,-2.509333e+00,-6.296000e-02
-2.030000e-03,-2.517067e+00,-6.333333e-02
-2.025000e-03,-2.506133e+00,-6.413333e-02
-2.020000e-03,-2.517067e+00,-6.308000e-02
-2.015000e-03,-2.524800e+00,-6.681333e-02
-2.010000e-03,-2.534667e+00,-6.892000e-02
-2.005000e-03,-2.513867e+00,-6.812000e-02
-2.000000e-03,-8.208000e-01,-6.854667e-02
-1.995000e-03,2.432800e+00,-6.774667e-02
-1.990000e-03,2.425067e+00,-6.618667e-02
-1.985000e-03,2.427467e+00,-6.476000e-02
-1.980000e-03,2.414133e+00,-6.258667e-02
-1.975000e-03,2.420800e+00,-6.065333e-02
-1.970000e-03,2.422933e+00,-5.810667e-02
-1.965000e-03,2.418667e+00,-5.780000e-02
-1.960000e-03,2.383467e+00,-5.486667e-02
-1.955000e-03,2.430667e+00,-5.468000e-02
-1.950000e-03,2.412000e+00,-5.176000e-02
-1.945000e-03,2.419733e+00,-5.281333e-02
-1.940000e-03,2.422933e+00,-4.890667e-02
-1.935000e-03,2.424000e+00,-4.884000e-02
-1.930000e-03,2.416267e+00,-4.840000e-02
-1.925000e-03,2.427467e+00,-4.784000e-02
-1.920000e-03,2.418667e+00,-4.169333e-02
-1.915000e-03,2.418667e+00,-4.212000e-02
-1.910000e-03,2.409867e+00,-4.169333e-02
-1.905000e-03,2.426133e+00,-3.964000e-02
-1.900000e-03,2.431733e+00,-3.894667e-02
