Time(s),CH1V,CH2V
-2.000000e-03,1.866667e-03,-2.586667e-02
-1.998000e-03,-2.480000e-02,8.453333e-02
-1.996000e-03,-6.933333e-03,1.906667e-01
-1.994000e-03,-2.666667e-03,2.258667e-01
-1.992000e-03,-2.933333e-02,2.701333e-01
-1.990000e-03,-1.600000e-02,2.834667e-01
-1.988000e-03,1.973333e-02,3.098667e-01
-1.986000e-03,1.866667e-03,2.656000e-01
-1.984000e-03,2.400000e-02,2.656000e-01
-1.982000e-03,-6.933333e-03,1.994667e-01
-1.980000e-03,6.400000e-03,1.906667e-01
-1.978000e-03,1.866667e-03,1.464000e-01
-1.976000e-03,6.400000e-03,1.154667e-01
-1.974000e-03,-2.666667e-03,5.813333e-02
-1.972000e-03,6.400000e-03,4.053333e-02
-1.970000e-03,-6.933333e-03,8.000000e-04
-1.968000e-03,1.520000e-02,8.000000e-04
-1.966000e-03,1.520000e-02,-5.680000e-02
-1.964000e-03,1.066667e-02,-3.466667e-02
-1.962000e-03,-2.666667e-03,-8.320000e-02
-1.960000e-03,1.520000e-02,-6.106667e-02
-1.958000e-03,-2.666667e-03,-6.986666e-02
-1.956000e-03,1.866667e-03,-3.893333e-02
-1.954000e-03,1.973333e-02,-6.560000e-02
-1.952000e-03,1.973333e-02,-4.346667e-02
-1.950000e-03,1.866667e-03,-4.346667e-02
-1.948000e-03,6.400000e-03,9.600000e-03
-1.946000e-03,-1.600000e-02,-3.893333e-02
-1.944000e-03,1.866667e-03,5.066667e-03
-1.942000e-03,-2.053333e-02,-8.000000e-03
-1.940000e-03,-2.666667e-03,3.173333e-02
-1.938000e-03,6.400000e-03,1.840000e-02
-1.936000e-03,6.400000e-03,1.840000e-02
-1.934000e-03,-6.933333e-03,5.066667e-03
-1.932000e-03,-2.666667e-03,2.720000e-02
-1.930000e-03,-2.666667e-03,5.066667e-03
-1.928000e-03,1.066667e-02,4.053333e-02
-1.926000e-03,-2.666667e-03,-3.733333e-03
-1.924000e-03,2.400000e-02,1.840000e-02
-1.922000e-03,-2.053333e-02,-3.733333e-03
-1.920000e-03,1.866667e-03,5.066667e-03
-1.918000e-03,-6.933333e-03,-8.000000e-03
-1.916000e-03,1.973333e-02,2.720000e-02
-1.914000e-03,-1.600000e-02,-3.733333e-03
-1.912000e-03,1.520000e-02,5.066667e-03
-1.910000e-03,-1.146667e-02,-3.733333e-03
-1.908000e-03,1.066667e-02,5.066667e-03
-1.906000e-03,-2.480000e-02,-3.733333e-03
-1.904000e-03,1.520000e-02,1.840000e-02
-1.902000e-03,-2.053333e-02,8.000000e-04
-1.900000e-03,1.866667e-03,3.173333e-02
-1.898000e-03,-2.666667e-03,-2.133333e-02
-1.896000e-03,6.400000e-03,9.600000e-03
-1.894000e-03,-6.933333e-03,-2.586667e-02
-1.892000e-03,1.520000e-02,1.386667e-02
-1.890000e-03,1.866667e-03,-2.133333e-02
-1.888000e-03,-2.666667e-03,1.386667e-02
-1.886000e-03,-6.933333e-03,-3.733333e-03
-1.884000e-03,-6.933333e-03,1.840000e-02
-1.882000e-03,-2.666667e-03,-3.733333e-03
-1.880000e-03,1.066667e-02,1.386667e-02
-1.878000e-03,-6.933333e-03,8.000000e-04
-1.876000e-03,1.866667e-03,1.386667e-02
-1.874000e-03,1.520000e-02,5.066667e-03
-1.872000e-03,1.066667e-02,8.000000e-04
-1.870000e-03,-1.146667e-02,-3.466667e-02
-1.868000e-03,1.866667e-03,5.066667e-03
-1.866000e-03,-1.146667e-02,-3.733333e-03
-1.864000e-03,2.853333e-02,1.386667e-02
-1.862000e-03,-1.600000e-02,5.066667e-03
-1.860000e-03,6.400000e-03,2.720000e-02
-1.858000e-03,-1.146667e-02,9.600000e-03
-1.856000e-03,6.400000e-03,2.266667e-02
-1.854000e-03,-6.933333e-03,-3.733333e-03
-1.852000e-03,1.066667e-02,2.266667e-02
-1.850000e-03,-6.933333e-03,1.386667e-02
-1.848000e-03,-6.933333e-03,3.173333e-02
-1.846000e-03,-1.600000e-02,8.000000e-04
-1.844000e-03,6.400000e-03,5.066667e-03
-1.842000e-03,-2.666667e-03,1.386667e-02
-1.840000e-03,6.400000e-03,8.000000e-04
-1.838000e-03,-1.600000e-02,-8.000000e-03
-1.836000e-03,2.853333e-02,4.053333e-02
-1.834000e-03,-2.666667e-03,-8.000000e-03
-1.832000e-03,-2.666667e-03,2.720000e-02
-1.830000e-03,-1.146667e-02,1.386667e-02
-1.828000e-03,6.400000e-03,2.720000e-02
-1.826000e-03,-2.666667e-03,-3.733333e-03
-1.824000e-03,1.520000e-02,3.173333e-02
-1.822000e-03,-1.146667e-02,-1.706667e-02
-1.820000e-03,1.066667e-02,2.720000e-02
-1.818000e-03,1.066667e-02,-8.000000e-03
-1.816000e-03,6.400000e-03,1.386667e-02
-1.814000e-03,-2.933333e-02,-1.253333e-02
-1.812000e-03,1.066667e-02,1.840000e-02
-1.810000e-03,-1.600000e-02,-3.733333e-03
-1.808000e-03,-6.933333e-03,3.600000e-02
-1.806000e-03,6.400000e-03,5.066667e-03
-1.804000e-03,-1.600000e-02,1.386667e-02
-1.802000e-03,-2.666667e-03,-8.000000e-03
-1.800000e-03,1.520000e-02,1.840000e-02
-1.798000e-03,-6.933333e-03,-2.586667e-02
-1.796000e-03,6.400000e-03,4.933333e-02
-1.794000e-03,-6.933333e-03,-2.586667e-02
-1.792000e-03,-2.666667e-03,1.386667e-02
-1.790000e-03,-2.480000e-02,-8.000000e-03
-1.788000e-03,-2.666667e-03,1.386667e-02
-1.786000e-03,-6.933333e-03,-2.133333e-02
-1.784000e-03,1.973333e-02,3.600000e-02
-1.782000e-03,-2.666667e-03,-8.000000e-03
-1.780000e-03,6.400000e-03,2.720000e-02
-1.778000e-03,-2.053333e-02,5.066667e-03
-1.776000e-03,6.400000e-03,1.840000e-02
-1.774000e-03,-1.146667e-02,-3.733333e-03
-1.772000e-03,1.866667e-03,2.720000e-02
-1.770000e-03,-6.933333e-03,9.600000e-03
-1.768000e-03,6.400000e-03,1.840000e-02
-1.766000e-03,-1.146667e-02,-8.000000e-03
-1.764000e-03,1.520000e-02,1.840000e-02
-1.762000e-03,-6.933333e-03,-8.000000e-03
-1.760000e-03,1.520000e-02,1.386667e-02
-1.758000e-03,-1.146667e-02,9.600000e-03
-1.756000e-03,1.520000e-02,5.066667e-03
-1.754000e-03,-1.146667e-02,1.386667e-02
-1.752000e-03,2.400000e-02,3.173333e-02
-1.750000e-03,-2.666667e-03,-2.586667e-02
-1.748000e-03,-6.933333e-03,2.720000e-02
-1.746000e-03,-2.053333e-02,-1.706667e-02
-1.744000e-03,-2.480000e-02,2.720000e-02
-1.742000e-03,-2.666667e-03,5.066667e-03
-1.740000e-03,1.520000e-02,1.840000e-02
-1.738000e-03,-2.666667e-03,-8.000000e-03
-1.736000e-03,6.400000e-03,2.266667e-02
-1.734000e-03,-1.600000e-02,8.000000e-04
-1.732000e-03,3.733333e-02,9.600000e-03
-1.730000e-03,-1.146667e-02,-2.586667e-02
-1.728000e-03,6.400000e-03,1.840000e-02
-1.726000e-03,-1.146667e-02,-2.133333e-02
-1.724000e-03,1.866667e-03,4.053333e-02
-1.722000e-03,-2.666667e-03,5.066667e-03
-1.720000e-03,-2.666667e-03,1.386667e-02
-1.718000e-03,1.866667e-03,1.386667e-02
-1.716000e-03,-2.666667e-03,2.720000e-02
-1.714000e-03,-6.933333e-03,5.066667e-03
-1.712000e-03,1.520000e-02,5.066667e-03
-1.710000e-03,-2.933333e-02,-1.253333e-02
-1.708000e-03,2.853333e-02,1.386667e-02
-1.706000e-03,-2.053333e-02,-8.000000e-03
-1.704000e-03,-2.666667e-03,2.720000e-02
-1.702000e-03,-2.053333e-02,8.000000e-04
-1.700000e-03,6.400000e-03,5.066667e-03
-1.698000e-03,-6.933333e-03,-3.733333e-03
-1.696000e-03,6.400000e-03,5.066667e-03
-1.694000e-03,1.866667e-03,-8.000000e-03
-1.692000e-03,-1.600000e-02,-3.733333e-03
-1.690000e-03,-3.386667e-02,-2.133333e-02
-1.688000e-03,-1.146667e-02,2.720000e-02
-1.686000e-03,-2.053333e-02,-8.000000e-03
-1.684000e-03,6.400000e-03,2.266667e-02
-1.682000e-03,-6.933333e-03,9.600000e-03
-1.680000e-03,6.400000e-03,2.266667e-02
-1.678000e-03,-2.053333e-02,-2.133333e-02
-1.676000e-03,6.400000e-03,5.066667e-03
-1.674000e-03,-2.053333e-02,-3.733333e-03
-1.672000e-03,1.973333e-02,1.840000e-02
-1.670000e-03,-1.146667e-02,-2.133333e-02
-1.668000e-03,-2.666667e-03,-3.733333e-03
-1.666000e-03,-2.053333e-02,-2.133333e-02
-1.664000e-03,6.400000e-03,1.386667e-02
-1.662000e-03,-1.600000e-02,-1.253333e-02
-1.660000e-03,1.520000e-02,2.266667e-02
-1.658000e-03,-2.053333e-02,-8.000000e-03
-1.656000e-03,1.866667e-03,2.720000e-02
-1.654000e-03,-2.480000e-02,9.600000e-03
-1.652000e-03,-2.666667e-03,5.066667e-03
-1.650000e-03,1.520000e-02,5.066667e-03
-1.648000e-03,1.866667e-03,5.066667e-03
-1.646000e-03,-1.146667e-02,-1.253333e-02
-1.644000e-03,1.866667e-03,1.840000e-02
-1.642000e-03,-6.933333e-03,-3.733333e-03
-1.640000e-03,-2.666667e-03,2.266667e-02
-1.638000e-03,-4.266667e-02,-8.000000e-03
-1.636000e-03,6.400000e-03,2.720000e-02
-1.634000e-03,-1.146667e-02,-2.586667e-02
-1.632000e-03,6.400000e-03,1.386667e-02
-1.630000e-03,-2.666667e-03,-3.733333e-03
-1.628000e-03,3.306667e-02,1.840000e-02
-1.626000e-03,-1.600000e-02,-8.000000e-03
-1.624000e-03,1.066667e-02,4.480000e-02
-1.622000e-03,-6.933333e-03,5.066667e-03
-1.620000e-03,1.973333e-02,1.840000e-02
-1.618000e-03,-2.053333e-02,-3.733333e-03
-1.616000e-03,-6.933333e-03,1.386667e-02
-1.614000e-03,-1.600000e-02,1.386667e-02
-1.612000e-03,1.520000e-02,1.386667e-02
-1.610000e-03,-2.666667e-03,-3.013333e-02
-1.608000e-03,1.866667e-03,1.840000e-02
-1.606000e-03,-1.600000e-02,-3.013333e-02
-1.604000e-03,1.520000e-02,5.066667e-03
-1.602000e-03,6.400000e-03,-1.253333e-02
-1.600000e-03,-2.666667e-03,1.840000e-02
-1.598000e-03,-6.933333e-03,-3.733333e-03
-1.596000e-03,1.973333e-02,1.840000e-02
-1.594000e-03,-2.480000e-02,5.066667e-03
-1.592000e-03,1.520000e-02,9.600000e-03
