Time(s),CH1V,CH2V
-5.000000e-03,1.087467e+00,2.060800e+00
-4.990000e-03,9.698667e-01,2.017600e+00
-4.980000e-03,9.565334e-01,1.940000e+00
-4.970000e-03,8.781334e-01,1.926933e+00
-4.960000e-03,8.608000e-01,1.840533e+00
-4.950000e-03,7.778667e-01,1.818933e+00
-4.940000e-03,7.648000e-01,1.732533e+00
-4.930000e-03,6.909333e-01,1.680800e+00
-4.920000e-03,6.733333e-01,1.641867e+00
-4.910000e-03,5.992000e-01,1.615733e+00
-4.900000e-03,5.776000e-01,1.529333e+00
-4.890000e-03,5.165333e-01,1.494933e+00
-4.880000e-03,4.989333e-01,1.438667e+00
-4.870000e-03,4.512000e-01,1.412800e+00
-4.860000e-03,4.381333e-01,1.343733e+00
-4.850000e-03,3.640000e-01,1.317600e+00
-4.840000e-03,3.813334e-01,1.231200e+00
-4.830000e-03,3.029333e-01,1.226933e+00
-4.820000e-03,2.986667e-01,1.149333e+00
-4.810000e-03,2.592000e-01,1.127733e+00
-4.800000e-03,2.592000e-01,1.071467e+00
-4.790000e-03,1.984000e-01,1.045600e+00
-4.780000e-03,1.938667e-01,9.936000e-01
-4.770000e-03,1.677333e-01,9.677333e-01
-4.760000e-03,1.722667e-01,9.245334e-01
-4.750000e-03,1.285333e-01,9.160000e-01
-4.740000e-03,1.242667e-01,8.466667e-01
-4.730000e-03,1.066667e-01,8.338667e-01
-4.720000e-03,1.154667e-01,7.906667e-01
-4.710000e-03,6.320000e-02,7.992000e-01
-4.700000e-03,1.112000e-01,7.386667e-01
-4.690000e-03,5.440000e-02,7.258667e-01
-4.680000e-03,8.053333e-02,6.653333e-01
-4.670000e-03,7.626667e-02,6.826667e-01
-4.660000e-03,1.024000e-01,6.264000e-01
-4.650000e-03,5.893333e-02,6.349334e-01
-4.640000e-03,8.053333e-02,5.746667e-01
-4.630000e-03,7.200000e-02,5.962667e-01
-4.620000e-03,1.112000e-01,5.530667e-01
-4.610000e-03,1.242667e-01,5.616000e-01
-4.600000e-03,1.242667e-01,5.184000e-01
-4.590000e-03,1.330667e-01,5.357333e-01
-4.580000e-03,1.722667e-01,5.096000e-01
-4.570000e-03,1.592000e-01,5.053334e-01
-4.560000e-03,2.069333e-01,4.794667e-01
-4.550000e-03,2.114667e-01,4.837333e-01
-4.540000e-03,2.506667e-01,4.837333e-01
-4.530000e-03,2.637333e-01,5.053334e-01
-4.520000e-03,3.202667e-01,4.925333e-01
-4.510000e-03,3.290667e-01,4.968000e-01
-4.500000e-03,3.770667e-01,4.621333e-01
-4.490000e-03,3.640000e-01,4.752000e-01
-4.480000e-03,4.424000e-01,4.752000e-01
-4.470000e-03,4.381333e-01,4.968000e-01
-4.460000e-03,5.296000e-01,4.837333e-01
-4.450000e-03,5.208000e-01,5.184000e-01
-4.440000e-03,5.861334e-01,5.053334e-01
-4.430000e-03,5.992000e-01,5.442667e-01
-4.420000e-03,6.909333e-01,5.357333e-01
-4.410000e-03,7.125334e-01,5.789334e-01
-4.400000e-03,7.693334e-01,5.789334e-01
-4.390000e-03,7.997333e-01,6.133333e-01
-4.380000e-03,9.000000e-01,6.048000e-01
-4.370000e-03,9.042667e-01,6.610667e-01
-4.360000e-03,9.960000e-01,6.610667e-01
-4.350000e-03,1.026400e+00,7.085333e-01
-4.340000e-03,1.091733e+00,7.258667e-01
-4.330000e-03,1.126667e+00,7.690667e-01
-4.320000e-03,1.205067e+00,7.776000e-01
-4.310000e-03,1.235467e+00,8.296000e-01
-4.300000e-03,1.331467e+00,8.381333e-01
-4.290000e-03,1.366400e+00,8.770667e-01
