Freq(Hz),Gain(dB),Phase
2361.000000,-25.119576,29.497253
2361.000000,-25.123489,29.926554
2361.000000,-25.217964,29.458199
2472.270501,-25.378845,42.282265
2549.349158,-26.460632,24.376295
2588.785021,-25.733139,35.412022
2649.085570,-25.653622,30.419506
2710.790700,-25.559288,32.514950
2752.723901,-25.850901,26.535028
2838.546330,-25.220631,32.569984
2972.322897,-24.763340,33.172958
2972.322897,-24.934238,31.380276
2972.322897,-24.677826,34.282646
3112.404159,-24.075422,40.098179
3209.440438,-24.591835,42.537315
3259.087248,-24.519764,45.818893
3335.001142,-25.382742,40.650780
3412.683298,-25.445587,45.787312
3465.474070,-25.439436,41.971664
3573.518107,-25.249895,41.156441
3741.932827,-24.768414,39.785156
3741.932827,-24.803005,40.280510
3741.932827,-24.712181,39.969658
3918.284688,-24.010605,40.461227
4040.446126,-23.637583,43.188107
4102.947756,-23.145191,45.275127
4198.517687,-23.791170,49.065300
4296.313727,-23.599083,50.777954
4362.773371,-24.143677,47.839142
4498.792755,-24.073383,48.909008
4710.814325,-23.417931,47.551285
4710.814325,-23.612278,46.813148
4710.814325,-23.565775,47.662102
4932.828164,-22.836483,47.642860
5086.620303,-23.218296,48.152641
5165.305194,-22.569256,48.899982
5285.620608,-22.628910,50.102348
5408.738528,-22.223761,51.336411
5492.406263,-22.626783,51.153931
5663.644521,-22.215557,50.952423
5930.563864,-21.958586,51.276443
5930.563864,-22.004505,52.076904
5930.563864,-21.787100,51.971306
6210.062728,-20.903574,55.412567
6403.675559,-21.112286,58.747105
6502.733968,-20.810726,60.558521
6654.202100,-21.768631,57.346359
6809.198378,-21.272104,60.026012
6914.529817,-21.272902,58.971481
7130.106011,-20.819782,58.274460
7466.137555,-20.820007,59.242298
7466.137555,-20.589603,59.970222
7466.137555,-20.368488,59.507462
7818.005778,-20.093109,59.163258
8061.749891,-19.702671,59.519882
8186.457039,-19.217176,60.054710
8377.144119,-19.560726,63.345039
8572.272873,-19.186581,63.941044
8704.877297,-19.654766,62.561272
8976.271647,-19.196644,63.152176
9399.310296,-18.793058,63.793293
9399.310296,-18.838150,63.441483
9399.310296,-18.605167,63.437607
9842.286143,-18.334871,62.952553
10149.141801,-18.427555,62.940678
10306.138799,-17.822739,63.748375
