Freq(Hz),Gain(dB),Phase
100.000000,-0.172120,-5.882561
107.977516,-0.008564,-8.284350
116.591440,0.015630,-7.677436
125.892541,-0.058152,-7.449561
135.935639,-0.099986,-7.647307
146.779926,-0.112867,-8.417250
158.489319,-0.099088,-8.596614
171.132830,-0.114649,-9.509018
184.784979,-0.183387,-10.698397
199.526231,-0.190143,-10.900486
215.443469,-0.248011,-11.352236
232.630506,-0.203252,-12.424713
251.188643,-0.339124,-13.600155
271.227257,-0.235485,-15.827976
292.864456,-0.268902,-15.651397
316.227766,-0.277489,-17.793995
341.454887,-0.427992,-17.451355
368.694506,-0.443264,-20.287655
398.107170,-0.562532,-20.776371
429.866234,-0.598250,-21.559078
464.158883,-0.740591,-24.099291
501.187233,-0.993664,-25.482510
541.169526,-0.843049,-28.684540
584.341413,-1.038896,-28.244160
630.957344,-1.044708,-31.606861
681.292069,-1.402157,-30.778219
735.642254,-1.486261,-34.954929
794.328234,-1.834027,-35.991264
857.695898,-1.955569,-36.870701
926.118728,-2.244570,-41.605778
1000.000000,-2.623333,-42.724983
1079.775162,-2.557024,-46.664497
1165.914401,-3.127208,-46.299179
1258.925411,-3.138123,-49.755169
1359.356390,-3.901594,-48.299614
1467.799267,-4.119345,-53.189491
1584.893192,-4.749614,-54.415627
1711.328304,-5.006271,-54.457726
1847.849797,-5.545044,-58.539139
1995.262314,-6.134348,-60.047279
2154.434690,-6.840839,-59.231209
2326.305067,-7.202406,-61.611057
2511.886431,-7.913426,-64.773483
2712.272579,-7.802842,-66.918976
2928.644564,-8.789139,-66.447067
3162.277660,-8.840691,-68.958649
3414.548873,-10.060514,-68.212906
3686.945064,-10.239349,-71.378815
3981.071705,-11.092203,-72.666473
4298.662347,-11.708565,-71.584824
4641.588833,-12.148742,-75.310822
5011.872336,-13.158401,-76.655304
5411.695265,-13.185400,-77.556656
5843.414133,-14.262229,-76.840477
6309.573444,-14.244551,-77.715729
6812.920690,-15.660811,-77.040131
7356.422544,-15.754877,-79.475723
7943.282347,-16.760006,-79.626228
8576.958985,-17.473349,-78.378983
9261.187281,-17.804827,-81.963058
10000.000000,-18.683647,-82.121483
10797.751623,-18.700748,-82.234100
11659.144011,-20.012253,-80.319565
12589.254117,-20.201832,-81.988297
13593.563908,-21.576756,-80.979324
14677.992676,-21.665609,-83.395432
15848.931924,-22.705301,-83.490707
17113.283041,-23.387592,-82.374252
18478.497974,-23.747305,-85.103302
19952.623149,-24.697998,-84.765396
21544.346900,-25.729208,-83.974472
23263.050671,-26.191326,-83.364899
25118.864315,-26.864262,-86.021782
27122.725793,-26.755695,-85.337112
29286.445646,-28.009710,-83.402832
31622.776601,-28.125343,-83.996536
34145.488738,-29.552700,-84.045654
36869.450645,-29.541241,-85.604721
39810.717055,-30.598293,-85.554504
42986.623470,-31.356531,-83.524704
46415.888336,-31.618345,-86.518417
50118.723362,-32.445171,-89.027946
54116.952654,-32.318787,-86.943237
58434.141337,-33.850227,-81.720650
63095.734448,-34.541817,-84.638176
68129.206905,-35.658493,-89.281525
73564.225445,-35.044098,-89.186935
79432.823472,-36.592995,-85.966202
85769.589859,-37.618439,-87.325485
92611.872812,-37.431194,-89.614548
100000.000000,-38.604256,-88.500381
107977.516232,-38.333687,-88.522537
116591.440117,-39.929337,-81.299332
125892.541179,-41.690453,-87.569115
135935.639087,-42.260143,-93.716995
146779.926762,-41.248291,-92.312256
158489.319246,-43.235641,-82.436340
171132.830416,-44.165985,-87.872803
184784.979742,-43.058830,-91.920670
199526.231496,-45.378647,-87.597237
215443.469003,-45.777866,-103.237503
232630.506715,-45.542465,-88.450897
251188.643150,-44.859566,-98.648773
271227.257933,-43.343586,-89.409981
292864.456462,-46.933846,-69.996017
316227.766016,-54.085800,-104.855179
341454.887383,-50.692680,-117.018135
368694.506451,-48.419739,-104.230728
398107.170553,-52.606483,-93.700043
429866.234708,-53.096172,-121.317207
464158.883361,-49.585178,-110.707771
501187.233627,-48.046318,-117.935394
541169.526546,-48.340065,-105.534866
584341.413373,-53.214493,-71.047577
630957.344480,-54.217644,109.694427
681292.069057,-52.463055,-127.239326
735642.254459,-50.287247,-110.936150
794328.234724,-57.571957,-60.574043
857695.898590,-52.886436,106.540070
926118.728128,-52.108543,-113.625229
1000000.000000,-52.391159,81.373207
