Time(s),CH1V,CH2V
-2.000000e-03,-8.266667e-02,1.197600e+00
-1.998000e-03,-3.386667e-02,1.515733e+00
-1.996000e-03,-5.600000e-02,1.696800e+00
-1.994000e-03,-1.600000e-02,1.838133e+00
-1.992000e-03,-2.666667e-03,1.816000e+00
-1.990000e-03,1.973333e-02,1.745333e+00
-1.988000e-03,1.066667e-02,1.533333e+00
-1.986000e-03,5.520000e-02,1.321333e+00
-1.984000e-03,3.733333e-02,9.768000e-01
-1.982000e-03,5.973333e-02,6.632000e-01
-1.980000e-03,5.066667e-02,3.098667e-01
-1.978000e-03,6.853333e-02,-2.133333e-02
-1.976000e-03,3.306667e-02,-3.437333e-01
-1.974000e-03,6.400000e-02,-5.954667e-01
-1.972000e-03,3.306667e-02,-8.384000e-01
-1.970000e-03,2.400000e-02,-9.709333e-01
-1.968000e-03,-1.600000e-02,-1.121067e+00
-1.966000e-03,6.400000e-03,-1.138667e+00
-1.964000e-03,-2.053333e-02,-1.134400e+00
-1.962000e-03,-3.386667e-02,-1.019467e+00
-1.960000e-03,-3.386667e-02,-8.914667e-01
-1.958000e-03,-4.266667e-02,-7.237334e-01
-1.956000e-03,-5.146667e-02,-5.426667e-01
-1.954000e-03,-4.266667e-02,-2.864000e-01
-1.952000e-03,-4.720000e-02,-9.200000e-02
-1.950000e-03,-4.720000e-02,1.597333e-01
-1.948000e-03,-3.813333e-02,3.010667e-01
-1.946000e-03,-1.146667e-02,4.821333e-01
-1.944000e-03,-2.053333e-02,6.234667e-01
-1.942000e-03,-2.666667e-03,7.029333e-01
-1.940000e-03,-2.480000e-02,7.384000e-01
-1.938000e-03,1.520000e-02,7.472000e-01
-1.936000e-03,-2.053333e-02,6.808000e-01
-1.934000e-03,2.400000e-02,6.544000e-01
-1.932000e-03,2.400000e-02,5.352000e-01
-1.930000e-03,2.853333e-02,4.026667e-01
-1.928000e-03,2.853333e-02,2.392000e-01
-1.926000e-03,1.973333e-02,1.242667e-01
-1.924000e-03,1.520000e-02,-4.800000e-02
-1.922000e-03,3.306667e-02,-1.493333e-01
-1.920000e-03,6.400000e-03,-2.776000e-01
-1.918000e-03,2.853333e-02,-3.482667e-01
-1.916000e-03,-2.666667e-03,-4.410667e-01
-1.914000e-03,1.520000e-02,-4.453333e-01
-1.912000e-03,1.973333e-02,-4.762667e-01
-1.910000e-03,-6.933333e-03,-4.320000e-01
-1.908000e-03,-6.933333e-03,-4.498667e-01
-1.906000e-03,-2.666667e-03,-3.394667e-01
-1.904000e-03,-2.053333e-02,-2.776000e-01
-1.902000e-03,-2.480000e-02,-2.069333e-01
-1.900000e-03,-1.146667e-02,-1.141333e-01
-1.898000e-03,-3.386667e-02,5.066667e-03
-1.896000e-03,-6.933333e-03,7.146667e-02
-1.894000e-03,-2.666667e-03,1.597333e-01
-1.892000e-03,-4.266667e-02,2.170667e-01
-1.890000e-03,-1.146667e-02,2.701333e-01
-1.888000e-03,-1.600000e-02,2.701333e-01
-1.886000e-03,1.066667e-02,3.186667e-01
-1.884000e-03,-1.146667e-02,2.922667e-01
-1.882000e-03,-6.933333e-03,2.922667e-01
-1.880000e-03,6.400000e-03,2.392000e-01
-1.878000e-03,1.520000e-02,2.216000e-01
-1.876000e-03,-1.600000e-02,1.421333e-01
-1.874000e-03,1.520000e-02,1.024000e-01
-1.872000e-03,-6.933333e-03,5.066667e-03
-1.870000e-03,1.066667e-02,5.066667e-03
-1.868000e-03,6.400000e-03,-8.773334e-02
-1.866000e-03,2.853333e-02,-1.229333e-01
-1.864000e-03,-6.933333e-03,-1.672000e-01
-1.862000e-03,1.520000e-02,-1.760000e-01
