Time(s),CH1V,CH2V
-5.000000e-03,-1.173333e-02,1.360000e-02
-4.995000e-03,-2.933333e-03,2.133333e-02
-4.990000e-03,1.040000e-02,2.240000e-02
-4.985000e-03,-1.066667e-02,1.360000e-02
-4.980000e-03,1.920000e-02,2.693333e-02
-4.975000e-03,1.493333e-02,2.373333e-02
-4.970000e-03,8.266667e-03,2.693333e-02
-4.965000e-03,8.266667e-03,2.240000e-02
-4.960000e-03,-7.466667e-03,3.573333e-02
-4.955000e-03,2.666667e-03,1.466667e-02
-4.950000e-03,-1.413333e-02,3.360000e-02
-4.945000e-03,2.266667e-02,2.800000e-02
-4.940000e-03,-2.933333e-03,2.240000e-02
-4.935000e-03,5.866667e-03,2.133333e-02
-4.930000e-03,-2.933333e-03,1.146667e-02
-4.925000e-03,4.800000e-03,1.600000e-02
-4.920000e-03,5.866667e-03,9.333333e-03
-4.915000e-03,2.666667e-03,2.586667e-02
-4.910000e-03,3.733333e-03,2.240000e-02
-4.905000e-03,1.386667e-02,2.373333e-02
-4.900000e-03,5.866667e-03,2.693333e-02
-4.895000e-03,5.866667e-03,2.480000e-02
-4.890000e-03,1.253333e-02,2.906667e-02
-4.885000e-03,-8.533333e-03,1.360000e-02
-4.880000e-03,1.920000e-02,2.240000e-02
-4.875000e-03,2.266667e-02,3.146667e-02
-4.870000e-03,-2.933333e-03,1.813333e-02
-4.865000e-03,1.813333e-02,1.920000e-02
-4.860000e-03,-2.933333e-03,3.573333e-02
-4.855000e-03,1.253333e-02,1.813333e-02
-4.850000e-03,3.733333e-03,1.360000e-02
-4.845000e-03,2.053333e-02,2.906667e-02
-4.840000e-03,5.866667e-03,1.813333e-02
-4.835000e-03,1.040000e-02,2.373333e-02
-4.830000e-03,1.253333e-02,2.906667e-02
-4.825000e-03,1.600000e-02,1.040000e-02
-4.820000e-03,1.493333e-02,1.813333e-02
-4.815000e-03,3.706667e-02,3.920000e-02
-4.810000e-03,1.253333e-02,2.693333e-02
-4.805000e-03,1.600000e-03,2.026667e-02
-4.800000e-03,1.040000e-02,4.026667e-02
-4.795000e-03,-1.866667e-03,2.586667e-02
-4.790000e-03,-7.466667e-03,9.333333e-03
-4.785000e-03,3.733333e-03,1.040000e-02
-4.780000e-03,-2.933333e-03,-4.000000e-03
-4.775000e-03,8.266667e-03,1.040000e-02
-4.770000e-03,1.040000e-02,2.026667e-02
-4.765000e-03,5.333333e-04,2.026667e-02
-4.760000e-03,-7.466667e-03,1.813333e-02
-4.755000e-03,3.733333e-03,3.733333e-03
-4.750000e-03,1.706667e-02,1.813333e-02
-4.745000e-03,8.266667e-03,2.133333e-02
-4.740000e-03,-2.933333e-03,9.333333e-03
-4.735000e-03,4.800000e-03,1.813333e-02
-4.730000e-03,-8.000000e-04,2.480000e-02
-4.725000e-03,1.600000e-02,2.480000e-02
-4.720000e-03,1.040000e-02,4.800000e-03
-4.715000e-03,1.600000e-03,2.133333e-02
-4.710000e-03,1.253333e-02,9.333333e-03
-4.705000e-03,2.266667e-02,1.466667e-02
-4.700000e-03,-2.933333e-03,1.813333e-02
-4.695000e-03,1.813333e-02,3.360000e-02
-4.690000e-03,1.253333e-02,1.360000e-02
-4.685000e-03,1.146667e-02,2.133333e-02
-4.680000e-03,5.866667e-03,-4.000000e-03
-4.675000e-03,2.933333e-02,1.920000e-02
-4.670000e-03,-7.466667e-03,1.600000e-02
-4.665000e-03,-5.066667e-03,3.733333e-03
-4.660000e-03,1.600000e-03,4.800000e-03
-4.655000e-03,1.253333e-02,2.133333e-02
-4.650000e-03,1.600000e-03,1.146667e-02
-4.645000e-03,-6.133333e-03,1.040000e-02
-4.640000e-03,-2.506667e-02,-4.000000e-03
-4.635000e-03,9.333333e-03,2.666667e-03
-4.630000e-03,-2.933333e-03,1.813333e-02
-4.625000e-03,-1.866667e-03,2.240000e-02
-4.620000e-03,-7.466667e-03,2.693333e-02
-4.615000e-03,-5.066667e-03,2.026667e-02
-4.610000e-03,4.787467e+00,7.333333e-02
-4.605000e-03,4.748533e+00,9.290667e-01
-4.600000e-03,4.745333e+00,2.248533e+00
-4.595000e-03,4.747467e+00,3.429867e+00
-4.590000e-03,4.780800e+00,4.249333e+00
-4.585000e-03,4.789600e+00,4.766133e+00
-4.580000e-03,4.816267e+00,5.004533e+00
-4.575000e-03,4.806400e+00,5.032000e+00
-4.570000e-03,4.822933e+00,5.006667e+00
-4.565000e-03,4.824267e+00,4.932800e+00
-4.560000e-03,4.798667e+00,4.889600e+00
-4.555000e-03,4.806400e+00,4.822400e+00
-4.550000e-03,4.816267e+00,4.796800e+00
-4.545000e-03,4.829600e+00,4.791467e+00
-4.540000e-03,4.816267e+00,4.774933e+00
-4.535000e-03,4.806400e+00,4.776000e+00
-4.530000e-03,4.822933e+00,4.792533e+00
-4.525000e-03,4.819734e+00,4.800267e+00
-4.520000e-03,4.829600e+00,4.801333e+00
-4.515000e-03,4.802933e+00,4.804533e+00
-4.510000e-03,4.829600e+00,4.796800e+00
-4.505000e-03,4.813066e+00,4.795733e+00
-4.500000e-03,4.834134e+00,4.801333e+00
-4.495000e-03,4.790934e+00,4.806933e+00
-4.490000e-03,4.822933e+00,4.808000e+00
-4.485000e-03,4.819734e+00,4.789067e+00
-4.480000e-03,4.807467e+00,4.801333e+00
-4.475000e-03,4.813066e+00,4.809067e+00
-4.470000e-03,4.845334e+00,4.825600e+00
-4.465000e-03,4.816267e+00,4.802400e+00
-4.460000e-03,4.812000e+00,4.801333e+00
-4.455000e-03,4.816267e+00,4.810133e+00
-4.450000e-03,4.816267e+00,4.799200e+00
-4.445000e-03,4.819734e+00,4.791467e+00
-4.440000e-03,4.798667e+00,4.801333e+00
-4.435000e-03,4.793067e+00,4.806933e+00
-4.430000e-03,4.796267e+00,4.792533e+00
-4.425000e-03,4.807467e+00,4.795733e+00
-4.420000e-03,4.794133e+00,4.796800e+00
-4.415000e-03,4.790934e+00,4.796800e+00
-4.410000e-03,4.820800e+00,4.790400e+00
-4.405000e-03,4.806400e+00,4.804533e+00
-4.400000e-03,4.789600e+00,4.801333e+00
-4.395000e-03,4.824267e+00,4.811200e+00
-4.390000e-03,4.820800e+00,4.803467e+00
-4.385000e-03,4.816267e+00,4.810133e+00
-4.380000e-03,4.829600e+00,4.796800e+00
-4.375000e-03,4.790934e+00,4.796800e+00
-4.370000e-03,4.805334e+00,4.790400e+00
-4.365000e-03,4.809600e+00,4.801333e+00
-4.360000e-03,4.802933e+00,4.810133e+00
-4.355000e-03,4.806400e+00,4.803467e+00
-4.350000e-03,4.816267e+00,4.803467e+00
-4.345000e-03,4.812000e+00,4.793600e+00
-4.340000e-03,4.789600e+00,4.779200e+00
-4.335000e-03,4.805334e+00,4.798133e+00
-4.330000e-03,4.812000e+00,4.799200e+00
-4.325000e-03,4.802933e+00,4.792533e+00
-4.320000e-03,4.812000e+00,4.796800e+00
-4.315000e-03,4.800800e+00,4.796800e+00
-4.310000e-03,4.809600e+00,4.799200e+00
