Time(s),CH1V,CH2V
-1.000000e-02,1.039467e+00,1.602933e+00
-9.980000e-03,9.914667e-01,1.529333e+00
-9.960000e-03,9.261333e-01,1.456000e+00
-9.940000e-03,8.650666e-01,1.408533e+00
-9.920000e-03,8.304000e-01,1.360800e+00
-9.900000e-03,7.778667e-01,1.296000e+00
-9.880000e-03,6.952000e-01,1.231200e+00
-9.860000e-03,6.733333e-01,1.196800e+00
-9.840000e-03,6.253334e-01,1.123200e+00
-9.820000e-03,5.730667e-01,1.067200e+00
-9.800000e-03,5.557333e-01,1.024000e+00
-9.780000e-03,4.858667e-01,9.762667e-01
-9.760000e-03,4.336000e-01,9.072000e-01
-9.740000e-03,4.293333e-01,8.770667e-01
-9.720000e-03,3.770667e-01,8.250667e-01
-9.700000e-03,3.464000e-01,7.602667e-01
-9.680000e-03,3.029333e-01,7.258667e-01
-9.660000e-03,2.768000e-01,6.912000e-01
-9.640000e-03,2.506667e-01,6.565334e-01
-9.620000e-03,2.157333e-01,6.264000e-01
-9.600000e-03,1.853333e-01,5.701333e-01
-9.580000e-03,1.546667e-01,5.269333e-01
-9.560000e-03,1.373333e-01,5.184000e-01
-9.540000e-03,1.285333e-01,4.837333e-01
-9.520000e-03,1.154667e-01,4.146667e-01
-9.500000e-03,8.933333e-02,4.061333e-01
-9.480000e-03,8.506667e-02,3.757333e-01
-9.460000e-03,8.053333e-02,3.672000e-01
-9.440000e-03,6.320000e-02,3.240000e-01
-9.420000e-03,4.133333e-02,2.765333e-01
-9.400000e-03,4.133333e-02,2.634667e-01
-9.380000e-03,1.093333e-02,2.592000e-01
-9.360000e-03,2.826667e-02,2.418667e-01
-9.340000e-03,4.586667e-02,2.160000e-01
-9.320000e-03,2.826667e-02,1.986667e-01
-9.300000e-03,5.013333e-02,1.986667e-01
-9.280000e-03,5.013333e-02,1.640000e-01
-9.260000e-03,4.133333e-02,1.640000e-01
-9.240000e-03,6.746667e-02,1.466667e-01
-9.220000e-03,7.200000e-02,1.512000e-01
-9.200000e-03,9.360000e-02,1.512000e-01
-9.180000e-03,1.066667e-01,1.424000e-01
-9.160000e-03,1.242667e-01,1.466667e-01
-9.140000e-03,1.461333e-01,1.381333e-01
-9.120000e-03,1.592000e-01,1.424000e-01
-9.100000e-03,1.677333e-01,1.770667e-01
-9.080000e-03,1.984000e-01,1.640000e-01
-9.060000e-03,2.288000e-01,1.813333e-01
-9.040000e-03,2.461333e-01,1.856000e-01
-9.020000e-03,2.986667e-01,2.114667e-01
-9.000000e-03,3.333333e-01,2.245333e-01
-8.980000e-03,3.682667e-01,2.288000e-01
-8.960000e-03,3.986667e-01,2.677333e-01
-8.940000e-03,4.424000e-01,2.634667e-01
-8.920000e-03,4.946667e-01,2.893333e-01
-8.900000e-03,5.165333e-01,3.109334e-01
-8.880000e-03,5.688000e-01,3.325333e-01
-8.860000e-03,6.168000e-01,3.629333e-01
-8.840000e-03,6.733333e-01,4.232000e-01
-8.820000e-03,7.125334e-01,4.362667e-01
-8.800000e-03,7.693334e-01,4.925333e-01
-8.780000e-03,8.040000e-01,4.968000e-01
-8.760000e-03,8.696000e-01,5.485333e-01
-8.740000e-03,9.173334e-01,5.832000e-01
-8.720000e-03,9.522667e-01,6.221333e-01
-8.700000e-03,1.022133e+00,6.869333e-01
-8.680000e-03,1.074400e+00,7.085333e-01
-8.660000e-03,1.130933e+00,7.429333e-01
-8.640000e-03,1.192000e+00,8.034667e-01
-8.620000e-03,1.266133e+00,8.597333e-01
-8.600000e-03,1.322667e+00,8.944000e-01
-8.580000e-03,1.374933e+00,9.418667e-01
-8.560000e-03,1.453600e+00,9.893333e-01
-8.540000e-03,1.505867e+00,1.045600e+00
-8.520000e-03,1.588533e+00,1.084267e+00
-8.500000e-03,1.640800e+00,1.144800e+00
-8.480000e-03,1.723733e+00,1.226933e+00
-8.460000e-03,1.762933e+00,1.278933e+00
-8.440000e-03,1.850133e+00,1.334933e+00
-8.420000e-03,1.911200e+00,1.378133e+00
-8.400000e-03,2.002667e+00,1.456000e+00
-8.380000e-03,2.068000e+00,1.512267e+00
-8.360000e-03,2.124800e+00,1.585600e+00
-8.340000e-03,2.194400e+00,1.637333e+00
-8.320000e-03,2.246667e+00,1.689333e+00
-8.300000e-03,2.329600e+00,1.754133e+00
-8.280000e-03,2.421067e+00,1.827467e+00
-8.260000e-03,2.482133e+00,1.896800e+00
-8.240000e-03,2.543200e+00,1.935733e+00
-8.220000e-03,2.630133e+00,2.022133e+00
-8.200000e-03,2.686933e+00,2.082400e+00
-8.180000e-03,2.774133e+00,2.156000e+00
-8.160000e-03,2.830667e+00,2.220800e+00
-8.140000e-03,2.882933e+00,2.272533e+00
-8.120000e-03,2.970133e+00,2.350400e+00
-8.100000e-03,3.040000e+00,2.419467e+00
-8.080000e-03,3.114133e+00,2.484267e+00
-8.060000e-03,3.188000e+00,2.540533e+00
-8.040000e-03,3.244800e+00,2.605333e+00
-8.020000e-03,3.310133e+00,2.691733e+00
-8.000000e-03,3.393067e+00,2.739200e+00
-7.980000e-03,3.466933e+00,2.817067e+00
-7.960000e-03,3.514933e+00,2.894933e+00
-7.940000e-03,3.589067e+00,2.950933e+00
-7.920000e-03,3.619733e+00,3.024533e+00
-7.900000e-03,3.724267e+00,3.076267e+00
-7.880000e-03,3.776533e+00,3.136800e+00
-7.860000e-03,3.828800e+00,3.188533e+00
-7.840000e-03,3.872267e+00,3.266400e+00
-7.820000e-03,3.950933e+00,3.331200e+00
-7.800000e-03,4.024800e+00,3.378667e+00
-7.780000e-03,4.055467e+00,3.443467e+00
-7.760000e-03,4.112000e+00,3.499733e+00
-7.740000e-03,4.164267e+00,3.568800e+00
-7.720000e-03,4.238400e+00,3.629333e+00
-7.700000e-03,4.269067e+00,3.698400e+00
-7.680000e-03,4.334400e+00,3.758933e+00
-7.660000e-03,4.386667e+00,3.815200e+00
-7.640000e-03,4.417067e+00,3.849600e+00
-7.620000e-03,4.460800e+00,3.927467e+00
-7.600000e-03,4.521867e+00,3.949067e+00
-7.580000e-03,4.548000e+00,4.005333e+00
-7.560000e-03,4.604533e+00,4.070133e+00
-7.540000e-03,4.622133e+00,4.104533e+00
-7.520000e-03,4.656800e+00,4.148000e+00
-7.500000e-03,4.696000e+00,4.199733e+00
-7.480000e-03,4.735467e+00,4.238667e+00
-7.460000e-03,4.783200e+00,4.303467e+00
