Freq(Hz),Gain(dB),Phase
228.0,-0.376083,-10.586646
228.0,-0.275305,-13.371795
228.0,-0.335862,-14.91304
238.745308,-0.452679,-10.105575
246.188737,-0.399031,-16.046661
249.997028,-0.434792,-12.66606
261.779025,-0.33486,-15.202724
265.828483,-0.359259,-17.752014
274.116291,-0.288703,-16.198715
287.034993,-0.435319,-13.500568
287.034993,-0.495098,-15.87774
287.034993,-0.44715,-17.006851
300.562536,-0.599049,-15.731507
309.933257,-0.485042,-18.848558
314.727612,-0.522099,-18.31156
329.560267,-0.559385,-18.590309
334.658233,-0.586133,-18.905066
345.091964,-0.781821,-18.964088
361.355647,-0.728153,-21.461617
361.355647,-0.823114,-20.086384
361.355647,-0.617838,-19.508408
378.385814,-0.816835,-20.724854
390.182853,-0.926917,-21.381393
396.218588,-1.017302,-23.299349
414.891795,-0.993097,-22.541172
421.309753,-0.888568,-28.934212
434.445043,-1.1667,-20.376879
454.919807,-1.301505,-23.525152
454.919807,-1.193305,-30.434465
454.919807,-1.010885,-23.046955
476.359517,-1.292819,-25.021938
491.211109,-1.473095,-27.920296
498.80965,-1.543677,-25.932646
522.317824,-1.500389,-28.79126
530.397555,-1.398211,-29.82938
546.933905,-1.386384,-31.829802
572.710106,-1.719438,-26.694111
572.710106,-1.484302,-25.628145
572.710106,-1.650746,-29.37606
599.701102,-2.04342,-30.104301
618.398148,-1.874855,-30.217793
627.964144,-2.055336,-32.782406
657.559182,-2.155897,-31.876741
667.73096,-2.180462,-30.585398
688.548992,-2.499127,-31.59581
720.999306,-2.597362,-34.356804
720.999306,-2.07983,-32.044865
720.999306,-2.640547,-34.561375
754.978956,-2.712974,-34.214333
778.517143,-3.043302,-33.814018
790.560019,-3.148141,-34.228615
827.817964,-3.204133,-37.633854
840.623474,-3.193296,-35.942215
866.831823,-3.444409,-36.586876
907.684348,-3.738622,-39.853371
907.684348,-3.161857,-42.127518
907.684348,-3.814017,-37.962151
950.462194,-3.955579,-37.905548
980.095015,-4.289648,-38.121483
995.256097,-4.44371,-38.003944
1042.161072,-4.402112,-40.906021
1058.282254,-4.300802,-40.064957
1091.27661,-4.438931,-40.317383
1142.706892,-4.929815,-38.612122
1142.706892,-4.906484,-38.581291
1142.706892,-4.401104,-39.251541
1196.561009,-5.510469,-39.204147
1233.86652,-5.387807,-41.218536
1252.953192,-5.581106,-41.39856
1312.003057,-5.871346,-40.304535
1332.298422,-5.908502,-40.535255
1373.835856,-6.480003,-39.383469
1438.582745,-6.701945,-41.733131
1438.582745,-5.625235,-41.715328
1438.582745,-6.493127,-42.474899
1506.381061,-6.990256,-41.153099
1553.345917,-7.240316,-39.659927
1577.374613,-7.605845,-37.009918
